"(u'w', u'dh')",#,2
"(u'd', u'z')",ow,181
"(u'#', u'iy')",t,464
"(u'd', u'l')",er,4
"(u'ch', u'v')",#,8
"(u'aa', u'uw')",jh,2
"(u'ae', u'aw')",l,1
"(u'ng', u'z')",#,3
"(u'jh', u'b')",ih,3
"(u'g', u'eh')",z,2
"(u'#', u'uw')",z,8
"(u'oy', u'#')",d,30
"(u'oy', u'#')",iy,3
"(u'hh', u'm')",aa,26
"(u'iy', u'iy')",n,16
"(u'b', u'#')",uw,2
"(u'ay', u'r')",ow,1
"(u'ay', u'm')",er,9
"(u'p', u'ey')",d,1
"(u'r', u'v')",iy,8
"(u'b', u'ih')",r,84
"(u'p', u'eh')",m,1
"(u'ow', u'l')",aa,4
"(u'n', u'g')",#,301
"(u'r', u'eh')",m,5
"(u'p', u'ch')",ih,1
"(u'uh', u'sh')",l,4
"(u'<', u'ae')",dh,8
"(u'#', u'ay')",p,31
"(u'ey', u'ah')",v,22
"(u't', u'n')",#,1526
"(u'sh', u't')",iy,9
"(u'y', u'm')",uw,49
"(u'ih', u'>')",z,2
"(u'r', u'ih')",aa,4
"(u'ow', u't')",r,603
"(u'ae', u'f')",m,2
"(u'ae', u'r')",k,21
"(u'n', u'k')",d,3
"(u'jh', u's')",ow,4
"(u'z', u'uw')",#,2
"(u'r', u'uw')",t,14
"(u'eh', u'ah')",z,8
"(u'd', u'uw')",v,7
"(u'ih', u'aa')",y,7
"(u'ae', u'l')",p,8
"(u'aa', u'ih')",v,2
"(u'ih', u'm')",l,6
"(u'k', u'p')",iy,150
"(u'th', u'r')",d,2
"(u'y', u'er')",uw,2
"(u's', u'eh')",ow,9
"(u't', u'p')",aa,105
"(u'ey', u'ih')",v,6
"(u'n', u't')",ey,47
"(u'p', u'n')",oy,125
"(u'uh', u'n')",l,1
"(u'sh', u'p')",iy,5
"(u'd', u'ih')",ch,8
"(u'zh', u'ey')",#,1
"(u'b', u'r')",ow,114
"(u'aw', u'd')",ah,33
"(u'ay', u'#')",d,552
"(u'w', u'g')",ih,2
"(u'iy', u'hh')",#,1394
"(u't', u't')",ay,20
"(u'en', u'f')",#,2
"(u'v', u'l')",#,297
"(u'd', u'f')",er,23
"(u'jh', u'g')",#,10
"(u'z', u'ch')",#,38
"(u'ey', u'ih')",#,266
"(u'#', u'ih')",r,1059
"(u'v', u'k')",#,260
"(u'l', u'aa')",m,1
"(u'w', u'r')",ih,61
"(u'z', u'k')",#,481
"(u'iy', u'aw')",#,96
"(u'ah', u'ah')",r,564
"(u'#', u'l')",b,224
"(u'#', u'aa')",g,1056
"(u'ih', u'z')",g,3
"(u'ay', u'm')",t,3
"(u'ay', u'ih')",r,15
"(u'th', u's')",er,2
"(u'm', u'uw')",b,1
"(u'p', u'l')",ih,15
"(u'm', u'eh')",v,1
"(u'f', u'dh')",er,9
"(u't', u'ow')",n,2
"(u'ch', u'ah')",r,3
"(u'k', u'r')",eh,300
"(u'l', u'aa')",ih,1
"(u'iy', u'l')",#,813
"(u'ah', u'ow')",v,1
"(u'eh', u'l')",s,11
"(u'iy', u'p')",#,1072
"(u'n', u'f')",eh,1
"(u'b', u'uh')",w,1
"(u'aa', u'dh')",l,28
"(u'g', u'uw')",r,117
"(u'n', u'd')",ey,8
