"(u'w', u'dh')","(u'dh', u'w')",#,2
"(u'd', u'z')","(u'd', u'z')",ow,181
"(u'#', u'iy')","(u'#', u'iy')",t,464
"(u'd', u'l')","(u'd', u'l')",er,4
"(u'ch', u'v')","(u'ch', u'v')",#,8
"(u'aa', u'uw')","(u'aa', u'uw')",jh,2
"(u'ae', u'aw')","(u'ae', u'aw')",l,1
"(u'ng', u'z')","(u'ng', u'z')",#,3
"(u'jh', u'b')","(u'b', u'jh')",ih,3
"(u'g', u'eh')","(u'eh', u'g')",z,2
"(u'#', u'uw')","(u'#', u'uw')",z,8
"(u'oy', u'#')","(u'#', u'oy')",d,30
"(u'oy', u'#')","(u'#', u'oy')",iy,3
"(u'hh', u'm')","(u'hh', u'm')",aa,26
"(u'iy', u'iy')","(u'iy', u'iy')",n,16
"(u'b', u'#')","(u'#', u'b')",uw,2
"(u'ay', u'r')","(u'ay', u'r')",ow,1
"(u'ay', u'm')","(u'ay', u'm')",er,9
"(u'p', u'ey')","(u'ey', u'p')",d,1
"(u'r', u'v')","(u'r', u'v')",iy,8
"(u'b', u'ih')","(u'b', u'ih')",r,84
"(u'p', u'eh')","(u'eh', u'p')",m,1
"(u'ow', u'l')","(u'l', u'ow')",aa,4
"(u'n', u'g')","(u'g', u'n')",#,301
"(u'r', u'eh')","(u'eh', u'r')",m,5
"(u'p', u'ch')","(u'ch', u'p')",ih,1
"(u'uh', u'sh')","(u'sh', u'uh')",l,4
"(u'<', u'ae')","(u'<', u'ae')",dh,8
"(u'#', u'ay')","(u'#', u'ay')",p,31
"(u'ey', u'ah')","(u'ah', u'ey')",v,22
"(u't', u'n')","(u'n', u't')",#,1526
"(u'sh', u't')","(u'sh', u't')",iy,9
"(u'y', u'm')","(u'm', u'y')",uw,49
"(u'ih', u'>')","(u'>', u'ih')",z,2
"(u'r', u'ih')","(u'ih', u'r')",aa,4
"(u'ow', u't')","(u'ow', u't')",r,603
"(u'ae', u'f')","(u'ae', u'f')",m,2
"(u'ae', u'r')","(u'ae', u'r')",k,21
"(u'n', u'k')","(u'k', u'n')",d,3
"(u'jh', u's')","(u'jh', u's')",ow,4
"(u'z', u'uw')","(u'uw', u'z')",#,2
"(u'r', u'uw')","(u'r', u'uw')",t,14
"(u'eh', u'ah')","(u'ah', u'eh')",z,8
"(u'd', u'uw')","(u'd', u'uw')",v,7
"(u'ih', u'aa')","(u'aa', u'ih')",y,7
"(u'ae', u'l')","(u'ae', u'l')",p,8
"(u'aa', u'ih')","(u'aa', u'ih')",v,2
"(u'ih', u'm')","(u'ih', u'm')",l,6
"(u'k', u'p')","(u'k', u'p')",iy,150
"(u'th', u'r')","(u'r', u'th')",d,2
"(u'y', u'er')","(u'er', u'y')",uw,2
"(u's', u'eh')","(u'eh', u's')",ow,9
"(u't', u'p')","(u'p', u't')",aa,105
"(u'ey', u'ih')","(u'ey', u'ih')",v,6
"(u'n', u't')","(u'n', u't')",ey,47
"(u'p', u'n')","(u'n', u'p')",oy,125
"(u'uh', u'n')","(u'n', u'uh')",l,1
"(u'sh', u'p')","(u'p', u'sh')",iy,5
"(u'd', u'ih')","(u'd', u'ih')",ch,8
"(u'zh', u'ey')","(u'ey', u'zh')",#,1
"(u'b', u'r')","(u'b', u'r')",ow,114
"(u'aw', u'd')","(u'aw', u'd')",ah,33
"(u'ay', u'#')","(u'#', u'ay')",d,552
"(u'w', u'g')","(u'g', u'w')",ih,2
"(u'iy', u'hh')","(u'hh', u'iy')",#,1394
"(u't', u't')","(u't', u't')",ay,20
"(u'en', u'f')","(u'en', u'f')",#,2
"(u'v', u'l')","(u'l', u'v')",#,297
"(u'd', u'f')","(u'd', u'f')",er,23
"(u'jh', u'g')","(u'g', u'jh')",#,10
"(u'z', u'ch')","(u'ch', u'z')",#,38
"(u'ey', u'ih')","(u'ey', u'ih')",#,266
"(u'#', u'ih')","(u'#', u'ih')",r,1059
"(u'v', u'k')","(u'k', u'v')",#,260
"(u'l', u'aa')","(u'aa', u'l')",m,1
"(u'w', u'r')","(u'r', u'w')",ih,61
"(u'z', u'k')","(u'k', u'z')",#,481
"(u'iy', u'aw')","(u'aw', u'iy')",#,96
"(u'ah', u'ah')","(u'ah', u'ah')",r,564
"(u'#', u'l')","(u'#', u'l')",b,224
"(u'#', u'aa')","(u'#', u'aa')",g,1056
"(u'ih', u'z')","(u'ih', u'z')",g,3
"(u'ay', u'm')","(u'ay', u'm')",t,3
"(u'ay', u'ih')","(u'ay', u'ih')",r,15
"(u'th', u's')","(u's', u'th')",er,2
"(u'm', u'uw')","(u'm', u'uw')",b,1
"(u'p', u'l')","(u'l', u'p')",ih,15
"(u'm', u'eh')","(u'eh', u'm')",v,1
"(u'f', u'dh')","(u'dh', u'f')",er,9
"(u't', u'ow')","(u'ow', u't')",n,2
"(u'ch', u'ah')","(u'ah', u'ch')",r,3
"(u'k', u'r')","(u'k', u'r')",eh,300
"(u'l', u'aa')","(u'aa', u'l')",ih,1
"(u'iy', u'l')","(u'iy', u'l')",#,813
"(u'ah', u'ow')","(u'ah', u'ow')",v,1
"(u'eh', u'l')","(u'eh', u'l')",s,11
"(u'iy', u'p')","(u'iy', u'p')",#,1072
"(u'n', u'f')","(u'f', u'n')",eh,1
"(u'b', u'uh')","(u'b', u'uh')",w,1
"(u'aa', u'dh')","(u'aa', u'dh')",l,28
"(u'g', u'uw')","(u'g', u'uw')",r,117
"(u'n', u'd')","(u'd', u'n')",ey,8
"(u'th', u'z')","(u'th', u'z')",iy,1
"(u'ay', u'#')","(u'#', u'ay')",er,134
"(u'ae', u'iy')","(u'ae', u'iy')",g,2
"(u'ah', u'ey')","(u'ah', u'ey')",k,23
"(u'y', u'r')","(u'r', u'y')",ih,713
"(u'jh', u'd')","(u'd', u'jh')",er,5
"(u'ow', u'iy')","(u'iy', u'ow')",z,6
"(u'k', u'l')","(u'k', u'l')",ah,100
"(u'eh', u'k')","(u'eh', u'k')",r,2
"(u'ay', u'ih')","(u'ay', u'ih')",s,7
"(u'r', u't')","(u'r', u't')",ey,270
"(u'er', u'aa')","(u'aa', u'er')",k,1
"(u'eh', u'y')","(u'eh', u'y')",k,3
"(u'm', u't')","(u'm', u't')",ae,111
"(u'b', u'th')","(u'b', u'th')",ae,16
"(u'd', u's')","(u'd', u's')",ih,347
"(u'sh', u'ay')","(u'ay', u'sh')",#,22
"(u'y', u'b')","(u'b', u'y')",uw,9
"(u'd', u'ae')","(u'ae', u'd')",iy,6
"(u'v', u'l')","(u'l', u'v')",iy,1
"(u'r', u'#')","(u'#', u'r')",m,52
"(u'ey', u'ih')","(u'ey', u'ih')",p,2
"(u'eh', u'l')","(u'eh', u'l')",r,35
"(u'n', u'uw')","(u'n', u'uw')",sh,19
"(u'ih', u'ey')","(u'ey', u'ih')",d,3
"(u'ih', u'ow')","(u'ih', u'ow')",d,1
"(u'ih', u'#')","(u'#', u'ih')",jh,281
"(u'm', u'ow')","(u'm', u'ow')",#,163
"(u'eh', u's')","(u'eh', u's')",m,38
"(u'r', u'th')","(u'r', u'th')",ah,9
"(u'er', u'iy')","(u'er', u'iy')",dh,2
"(u'ae', u'r')","(u'ae', u'r')",ch,13
"(u'k', u'r')","(u'k', u'r')",ow,215
"(u'b', u'k')","(u'b', u'k')",ah,32
"(u'ow', u'ih')","(u'ih', u'ow')",p,16
"(u'ow', u'l')","(u'l', u'ow')",k,7
"(u'#', u'er')","(u'#', u'er')",s,249
"(u'eh', u'z')","(u'eh', u'z')",m,6
"(u'ae', u'sh')","(u'ae', u'sh')",#,32
"(u'sh', u'r')","(u'r', u'sh')",ow,25
"(u'uh', u'l')","(u'l', u'uh')",t,1
"(u'w', u's')","(u's', u'w')",ay,10
"(u'el', u'y')","(u'el', u'y')",#,140
"(u'oy', u'#')","(u'#', u'oy')",s,46
"(u'r', u'sh')","(u'r', u'sh')",iy,15
"(u'ow', u'>')","(u'>', u'ow')",r,3
"(u't', u'oy')","(u'oy', u't')",#,1
"(u'b', u'ey')","(u'b', u'ey')",l,15
"(u'z', u'ae')","(u'ae', u'z')",m,7
"(u'<', u'r')","(u'<', u'r')",f,1
"(u'r', u'>')","(u'>', u'r')",iy,1
"(u'ow', u'#')","(u'#', u'ow')",k,43
"(u'm', u'uw')","(u'm', u'uw')",s,2
"(u'k', u'er')","(u'er', u'k')",aw,1
"(u'aa', u'eh')","(u'aa', u'eh')",th,5
"(u'#', u'em')","(u'#', u'em')",hh,47
"(u'ae', u'iy')","(u'ae', u'iy')",th,2
"(u't', u'k')","(u'k', u't')",eh,74
"(u'ah', u'n')","(u'ah', u'n')",#,106
"(u'b', u'>')","(u'>', u'b')",el,2
"(u'eh', u'#')","(u'#', u'eh')",d,928
"(u'p', u'z')","(u'p', u'z')",er,37
"(u'l', u'z')","(u'l', u'z')",aa,36
"(u'iy', u's')","(u'iy', u's')",ae,4
"(u'k', u'er')","(u'er', u'k')",ow,1
"(u'ow', u'ih')","(u'ih', u'ow')",s,7
"(u'er', u'dh')","(u'dh', u'er')",#,670
"(u'l', u'aa')","(u'aa', u'l')",t,2
"(u'f', u'sh')","(u'f', u'sh')",ae,7
"(u'#', u'er')","(u'#', u'er')",t,163
"(u'n', u's')","(u'n', u's')",d,11
"(u'ch', u'ih')","(u'ch', u'ih')",#,218
"(u't', u'iy')","(u'iy', u't')",r,275
"(u'aw', u'f')","(u'aw', u'f')",n,2
"(u'aa', u'b')","(u'aa', u'b')",z,1
"(u'eh', u'ih')","(u'eh', u'ih')",l,154
"(u'sh', u'dh')","(u'dh', u'sh')",#,24
