"(u'w', u'dh')",#,2
"(u'd', u'z')",ow,181
"(u'b', u'#')",uw,2
"(u'aa', u'uw')",jh,2
"(u'ae', u'aw')",l,1
"(u'ng', u'z')",#,3
"(u'jh', u'b')",ih,5
"(u'g', u'eh')",z,2
"(u'oy', u'#')",d,30
"(u'oy', u'#')",iy,3
"(u'hh', u'm')",aa,26
"(u'iy', u'iy')",n,16
"(u'ay', u'r')",ow,1
"(u'ay', u'm')",er,9
"(u'p', u'ey')",d,1
"(u'r', u'v')",iy,8
"(u'b', u'ih')",r,84
"(u'ow', u'l')",aa,4
"(u'n', u'g')",#,306
"(u'r', u'eh')",m,5
"(u'p', u'ch')",ih,4
"(u'uh', u'sh')",l,4
"(u'<', u'ae')",dh,8
"(u'#', u'ay')",p,116
"(u'sh', u't')",iy,9
"(u'y', u'm')",uw,49
"(u'ih', u'>')",z,2
"(u'r', u'ih')",aa,4
"(u'ow', u't')",r,670
"(u'ae', u'f')",m,2
"(u'ae', u'r')",k,22
"(u'jh', u's')",ow,4
"(u'z', u'uw')",#,2
"(u'eh', u'ah')",z,13
"(u'ih', u'aa')",y,7
"(u'ae', u'l')",p,8
"(u'ih', u'm')",l,9
"(u'k', u'p')",iy,188
"(u'th', u'r')",d,2
"(u'y', u'er')",uw,2
"(u's', u'eh')",ow,9
"(u't', u'p')",aa,120
"(u'ey', u'ih')",v,20
"(u'n', u't')",ey,62
"(u'p', u'n')",oy,125
"(u'uh', u'n')",l,1
"(u'd', u'ih')",ch,8
"(u'zh', u'ey')",#,1
"(u'b', u'r')",ow,120
"(u'aw', u'd')",ah,33
"(u'ay', u'#')",d,648
"(u'w', u'g')",ih,2
"(u'iy', u'hh')",#,1394
"(u't', u't')",ay,20
"(u'en', u'f')",#,2
"(u'ae', u'f')",n,2
"(u'd', u'f')",er,39
"(u'jh', u'g')",#,12
"(u'z', u'ch')",#,38
"(u'ey', u'ih')",#,266
"(u'v', u'k')",#,281
"(u'l', u'aa')",m,4
"(u'w', u'r')",ih,64
"(u'w', u'#')",ay,274
"(u'ah', u'ah')",r,564
"(u'#', u'l')",b,226
"(u'#', u'aa')",g,1098
"(u'ih', u'z')",g,3
"(u'ay', u'ih')",r,15
"(u'th', u's')",er,2
"(u'm', u'uw')",b,1
"(u'm', u'eh')",v,1
"(u'f', u'dh')",er,9
"(u'ch', u'ah')",r,3
"(u'l', u'aa')",ih,1
"(u'iy', u'l')",#,823
"(u'eh', u'l')",s,11
"(u'iy', u'p')",#,1075
"(u'b', u'uh')",w,1
"(u'aa', u'dh')",l,28
"(u'g', u'uw')",r,117
"(u'ih', u'el')",s,4
"(u'th', u'z')",iy,1
"(u'ay', u'#')",er,134
"(u'ae', u'iy')",g,2
"(u'y', u'r')",ih,713
"(u'jh', u'd')",er,5
"(u'ow', u'iy')",z,6
"(u'k', u'l')",ah,143
"(u'r', u't')",ey,270
"(u'eh', u'y')",k,3
"(u'm', u't')",ae,117
"(u'b', u'th')",ae,16
"(u'd', u's')",ih,421
"(u'y', u'b')",uw,9
"(u'd', u'ae')",iy,6
"(u'r', u'#')",m,52
"(u'n', u'uw')",sh,19
"(u'ih', u'#')",jh,295
"(u'eh', u's')",m,46
"(u'r', u'th')",ah,11
"(u'er', u'iy')",dh,2
