"(u'ih', u'ow')",nx,984
"(u'y', u'm')",#,1
"(u'er', u'oy')",#,2
"(u'ch', u'v')",#,15
"(u'el', u'r')",ah,3
"(u'oy', u'#')",d,21
"(u'f', u'g')",iy,3
"(u'ay', u'm')",er,30
"(u'p', u'ey')",d,1
"(u'tq', u'f')",#,296
"(u'tq', u'dx')",en,1
"(u'dx', u'l')",ao,1
"(u'dx', u'ahn')",iy,1
"(u'r', u'eh')",m,12
"(u'uw', u'#')",eng,1
"(u'th', u'b')",ae,1
"(u'd', u'ihn')",ow,1
"(u'ay', u'ih')",el,1
"(u'nx', u'aan')",#,3
"(u'n', u'y')",z,1
"(u'ih', u'ahn')",sh,3
"(u'eh', u'ng')",iy,3
"(u'eh', u'ah')",z,18
"(u'aa', u'w')",b,1
"(u'ay', u'k')",iy,1
"(u'y', u'p')",ae,1
"(u's', u'eh')",ow,8
"(u't', u'p')",aa,100
"(u'#', u'tq')",ahn,2
"(u'k', u'ah')",th,1
"(u'aa', u'uh')",b,6
"(u'ng', u'nx')",ih,2
"(u'ao', u'dx')",eh,1
"(u's', u'ey')",ih,3
"(u'sh', u'p')",iy,6
"(u'zh', u'ey')",#,2
"(u'w', u'g')",ih,2
"(u'eh', u'#')",hh,7
"(u'#', u'ah')",dx,483
"(u'r', u't')",#,223
"(u'zh', u'er')",#,12
"(u'k', u'#')",ahn,9
"(u'g', u'r')",#,8
"(u'#', u'dh')",ih,19
"(u'#', u'iy')",tq,1
"(u'k', u'eh')",en,6
"(u'#', u'ay')",y,7
"(u'#', u'aa')",er,4
"(u'm', u'eh')",v,1
"(u'dx', u'l')",ahn,1
"(u'ch', u'ae')",m,2
"(u'#', u'awn')",r,6
"(u'ch', u'ah')",r,120
"(u'ao', u'#')",nx,58
"(u'aa', u'p')",k,1
"(u'uw', u'r')",l,1
"(u'p', u'ah')",t,14
"(u'th', u'z')",iy,3
"(u'ah', u'ey')",k,113
"(u'ae', u'k')",f,2
"(u'w', u'ay')",aa,1
"(u'#', u'ao')",f,702
"(u'm', u'm')",iy,11
"(u'g', u'iyn')",ah,1
"(u'th', u'#')",uw,27
"(u'jh', u'#')",n,1
"(u'#', u'n')",n,10
"(u'v', u'r')",er,10
"(u'd', u's')",ih,384
"(u'ao', u'y')",#,33
"(u's', u'dh')",em,1
"(u'k', u'uh')",m,1
"(u'ae', u'd')",tq,1
"(u'r', u'th')",ah,7
"(u'k', u'jh')",eh,18
"(u'ey', u'ae')",t,1
"(u'ow', u'ih')",p,31
"(u'tq', u'ey')",l,3
"(u'p', u'eh')",f,1
"(u'eh', u'z')",m,3
"(u'ay', u'ah')",dx,3
"(u's', u'ay')",ah,1
"(u'b', u'iy')",el,48
"(u'nx', u'tq')",aa,18
"(u'z', u'f')",er,3
"(u'w', u's')",ay,18
"(u'p', u'aa')",ao,1
"(u'oy', u'#')",s,57
"(u'z', u'd')",ih,22
"(u't', u'oy')",#,1
"(u'b', u'ey')",l,19
"(u'z', u'ae')",m,6
"(u's', u'ah')",d,2
"(u'dx', u't')",ihn,1
"(u'ow', u'#')",k,43
"(u'er', u'eh')",p,5
"(u'uw', u'uhn')",#,1
"(u'z', u'k')",ihn,1
"(u'ae', u'en')",l,2
"(u'r', u'dh')",uh,1
"(u'b', u'#')",ihn,9
"(u'eh', u'r')",w,2
"(u'iy', u'w')",nx,1
"(u'th', u'tq')",aa,5
"(u'p', u'z')",er,31
"(u'#', u'm')",uw,3
"(u'ow', u'ih')",s,18
"(u'er', u'dh')",#,648
"(u'#', u'aon')",r,5
"(u'iyn', u'jh')",#,1
"(u'b', u'ah')",aa,4
"(u'#', u'er')",t,197
"(u'n', u's')",d,41
"(u'#', u'v')",ay,290
"(u'hh', u'nx')",uh,2
"(u'aa', u'f')",el,1
"(u'w', u'ah')",aa,5
"(u'k', u'en')",l,1
"(u'iy', u'l')",z,3
"(u'n', u'r')",b,2
"(u'#', u'r')",ae,11
"(u'nx', u'm')",#,4
"(u'eh', u'r')",t,8
"(u'f', u'dx')",uw,9
"(u'ow', u's')",#,323
"(u'd', u's')",ow,7
"(u'uw', u'eh')",m,9
"(u'iy', u'ihn')",dx,1
"(u'g', u'l')",ow,20
"(u'own', u'ch')",#,1
"(u's', u'zh')",ay,1
"(u'm', u'z')",iy,5
"(u'ch', u'l')",#,16
"(u't', u'#')",f,1
"(u'v', u'eh')",y,3
"(u's', u'b')",ay,3
"(u'hh', u'#')",eng,1
"(u't', u'z')",ey,9
"(u'nx', u'm')",ih,5
"(u'er', u'dx')",v,1
"(u'd', u'r')",ow,26
"(u'p', u'en')",p,1
"(u'th', u'm')",ay,1
"(u'p', u'l')",b,1
"(u'uh', u'n')",en,1
"(u'#', u'r')",f,957
"(u'#', u'ow')",nx,275
"(u'm', u'ih')",ihn,1
"(u'ow', u'l')",f,2
"(u'ih', u'y')",s,1
"(u'b', u'z')",eh,2
"(u'ih', u'ow')",jh,2
"(u'th', u'tq')",ah,11
"(u'#', u'eyn')",v,1
"(u'eh', u'ih')",n,58
"(u'eh', u'n')",ng,2
