"(u'ih', u'ow')","(u'ih', u'ow')",nx,984
"(u'y', u'm')","(u'm', u'y')",#,1
"(u'er', u'oy')","(u'er', u'oy')",#,2
"(u'ch', u'v')","(u'ch', u'v')",#,15
"(u'el', u'r')","(u'el', u'r')",ah,3
"(u'oy', u'#')","(u'#', u'oy')",d,21
"(u'f', u'g')","(u'f', u'g')",iy,3
"(u'ay', u'm')","(u'ay', u'm')",er,30
"(u'p', u'ey')","(u'ey', u'p')",d,1
"(u'tq', u'f')","(u'f', u'tq')",#,296
"(u'tq', u'dx')","(u'dx', u'tq')",en,1
"(u'dx', u'l')","(u'dx', u'l')",ao,1
"(u'dx', u'ahn')","(u'ahn', u'dx')",iy,1
"(u'r', u'eh')","(u'eh', u'r')",m,12
"(u'uw', u'#')","(u'#', u'uw')",eng,1
"(u'th', u'b')","(u'b', u'th')",ae,1
"(u'd', u'ihn')","(u'd', u'ihn')",ow,1
"(u'ay', u'ih')","(u'ay', u'ih')",el,1
"(u'nx', u'aan')","(u'aan', u'nx')",#,3
"(u'n', u'y')","(u'n', u'y')",z,1
"(u'ih', u'ahn')","(u'ahn', u'ih')",sh,3
"(u'eh', u'ng')","(u'eh', u'ng')",iy,3
"(u'eh', u'ah')","(u'ah', u'eh')",z,18
"(u'aa', u'w')","(u'aa', u'w')",b,1
"(u'ay', u'k')","(u'ay', u'k')",iy,1
"(u'y', u'p')","(u'p', u'y')",ae,1
"(u's', u'eh')","(u'eh', u's')",ow,8
"(u't', u'p')","(u'p', u't')",aa,100
"(u'#', u'tq')","(u'#', u'tq')",ahn,2
"(u'k', u'ah')","(u'ah', u'k')",th,1
"(u'aa', u'uh')","(u'aa', u'uh')",b,6
"(u'ng', u'nx')","(u'ng', u'nx')",ih,2
"(u'ao', u'dx')","(u'ao', u'dx')",eh,1
"(u's', u'ey')","(u'ey', u's')",ih,3
"(u'sh', u'p')","(u'p', u'sh')",iy,6
"(u'zh', u'ey')","(u'ey', u'zh')",#,2
"(u'w', u'g')","(u'g', u'w')",ih,2
"(u'eh', u'#')","(u'#', u'eh')",hh,7
"(u'#', u'ah')","(u'#', u'ah')",dx,483
"(u'r', u't')","(u'r', u't')",#,223
"(u'zh', u'er')","(u'er', u'zh')",#,12
"(u'k', u'#')","(u'#', u'k')",ahn,9
"(u'g', u'r')","(u'g', u'r')",#,8
"(u'#', u'dh')","(u'#', u'dh')",ih,19
"(u'#', u'iy')","(u'#', u'iy')",tq,1
"(u'k', u'eh')","(u'eh', u'k')",en,6
"(u'#', u'ay')","(u'#', u'ay')",y,7
"(u'#', u'aa')","(u'#', u'aa')",er,4
"(u'm', u'eh')","(u'eh', u'm')",v,1
"(u'dx', u'l')","(u'dx', u'l')",ahn,1
"(u'ch', u'ae')","(u'ae', u'ch')",m,2
"(u'#', u'awn')","(u'#', u'awn')",r,6
"(u'ch', u'ah')","(u'ah', u'ch')",r,120
"(u'ao', u'#')","(u'#', u'ao')",nx,58
"(u'aa', u'p')","(u'aa', u'p')",k,1
"(u'uw', u'r')","(u'r', u'uw')",l,1
"(u'p', u'ah')","(u'ah', u'p')",t,14
"(u'th', u'z')","(u'th', u'z')",iy,3
"(u'ah', u'ey')","(u'ah', u'ey')",k,113
"(u'ae', u'k')","(u'ae', u'k')",f,2
"(u'w', u'ay')","(u'ay', u'w')",aa,1
"(u'#', u'ao')","(u'#', u'ao')",f,702
"(u'm', u'm')","(u'm', u'm')",iy,11
"(u'g', u'iyn')","(u'g', u'iyn')",ah,1
"(u'th', u'#')","(u'#', u'th')",uw,27
"(u'jh', u'#')","(u'#', u'jh')",n,1
"(u'#', u'n')","(u'#', u'n')",n,10
"(u'v', u'r')","(u'r', u'v')",er,10
"(u'd', u's')","(u'd', u's')",ih,384
"(u'ao', u'y')","(u'ao', u'y')",#,33
"(u's', u'dh')","(u'dh', u's')",em,1
"(u'k', u'uh')","(u'k', u'uh')",m,1
"(u'ae', u'd')","(u'ae', u'd')",tq,1
"(u'r', u'th')","(u'r', u'th')",ah,7
"(u'k', u'jh')","(u'jh', u'k')",eh,18
"(u'ey', u'ae')","(u'ae', u'ey')",t,1
"(u'ow', u'ih')","(u'ih', u'ow')",p,31
"(u'tq', u'ey')","(u'ey', u'tq')",l,3
"(u'p', u'eh')","(u'eh', u'p')",f,1
"(u'eh', u'z')","(u'eh', u'z')",m,3
"(u'ay', u'ah')","(u'ah', u'ay')",dx,3
"(u's', u'ay')","(u'ay', u's')",ah,1
"(u'b', u'iy')","(u'b', u'iy')",el,48
"(u'nx', u'tq')","(u'nx', u'tq')",aa,18
"(u'z', u'f')","(u'f', u'z')",er,3
"(u'w', u's')","(u's', u'w')",ay,18
"(u'p', u'aa')","(u'aa', u'p')",ao,1
"(u'oy', u'#')","(u'#', u'oy')",s,57
"(u'z', u'd')","(u'd', u'z')",ih,22
"(u't', u'oy')","(u'oy', u't')",#,1
"(u'b', u'ey')","(u'b', u'ey')",l,19
"(u'z', u'ae')","(u'ae', u'z')",m,6
"(u's', u'ah')","(u'ah', u's')",d,2
"(u'dx', u't')","(u'dx', u't')",ihn,1
"(u'ow', u'#')","(u'#', u'ow')",k,43
"(u'er', u'eh')","(u'eh', u'er')",p,5
"(u'uw', u'uhn')","(u'uhn', u'uw')",#,1
"(u'z', u'k')","(u'k', u'z')",ihn,1
"(u'ae', u'en')","(u'ae', u'en')",l,2
"(u'r', u'dh')","(u'dh', u'r')",uh,1
"(u'b', u'#')","(u'#', u'b')",ihn,9
"(u'eh', u'r')","(u'eh', u'r')",w,2
"(u'iy', u'w')","(u'iy', u'w')",nx,1
"(u'th', u'tq')","(u'th', u'tq')",aa,5
"(u'p', u'z')","(u'p', u'z')",er,31
"(u'#', u'm')","(u'#', u'm')",uw,3
"(u'ow', u'ih')","(u'ih', u'ow')",s,18
"(u'er', u'dh')","(u'dh', u'er')",#,648
"(u'#', u'aon')","(u'#', u'aon')",r,5
"(u'iyn', u'jh')","(u'iyn', u'jh')",#,1
"(u'b', u'ah')","(u'ah', u'b')",aa,4
"(u'#', u'er')","(u'#', u'er')",t,197
"(u'n', u's')","(u'n', u's')",d,41
"(u'#', u'v')","(u'#', u'v')",ay,290
"(u'hh', u'nx')","(u'hh', u'nx')",uh,2
"(u'aa', u'f')","(u'aa', u'f')",el,1
"(u'w', u'ah')","(u'ah', u'w')",aa,5
"(u'k', u'en')","(u'en', u'k')",l,1
"(u'iy', u'l')","(u'iy', u'l')",z,3
"(u'n', u'r')","(u'n', u'r')",b,2
"(u'#', u'r')","(u'#', u'r')",ae,11
"(u'nx', u'm')","(u'm', u'nx')",#,4
"(u'eh', u'r')","(u'eh', u'r')",t,8
"(u'f', u'dx')","(u'dx', u'f')",uw,9
"(u'ow', u's')","(u'ow', u's')",#,323
"(u'd', u's')","(u'd', u's')",ow,7
"(u'uw', u'eh')","(u'eh', u'uw')",m,9
"(u'iy', u'ihn')","(u'ihn', u'iy')",dx,1
"(u'g', u'l')","(u'g', u'l')",ow,20
"(u'own', u'ch')","(u'ch', u'own')",#,1
"(u's', u'zh')","(u's', u'zh')",ay,1
"(u'm', u'z')","(u'm', u'z')",iy,5
"(u'ch', u'l')","(u'ch', u'l')",#,16
"(u't', u'#')","(u'#', u't')",f,1
"(u'v', u'eh')","(u'eh', u'v')",y,3
"(u's', u'b')","(u'b', u's')",ay,3
"(u'hh', u'#')","(u'#', u'hh')",eng,1
"(u't', u'z')","(u't', u'z')",ey,9
"(u'nx', u'm')","(u'm', u'nx')",ih,5
"(u'er', u'dx')","(u'dx', u'er')",v,1
"(u'd', u'r')","(u'd', u'r')",ow,26
"(u'p', u'en')","(u'en', u'p')",p,1
"(u'th', u'm')","(u'm', u'th')",ay,1
"(u'p', u'l')","(u'l', u'p')",b,1
"(u'uh', u'n')","(u'n', u'uh')",en,1
"(u'#', u'r')","(u'#', u'r')",f,957
"(u'#', u'ow')","(u'#', u'ow')",nx,275
"(u'm', u'ih')","(u'ih', u'm')",ihn,1
"(u'ow', u'l')","(u'l', u'ow')",f,2
"(u'ih', u'y')","(u'ih', u'y')",s,1
"(u'b', u'z')","(u'b', u'z')",eh,2
"(u'ih', u'ow')","(u'ih', u'ow')",jh,2
"(u'th', u'tq')","(u'th', u'tq')",ah,11
"(u'#', u'eyn')","(u'#', u'eyn')",v,1
"(u'eh', u'ih')","(u'eh', u'ih')",n,58
"(u'eh', u'n')","(u'eh', u'n')",ng,2
"(u'#', u'm')","(u'#', u'm')",uh,16
"(u'b', u'eh')","(u'b', u'eh')",k,1
"(u'uw', u'ey')","(u'ey', u'uw')",#,21
"(u'ih', u'iy')","(u'ih', u'iy')",s,33
"(u'm', u'aa')","(u'aa', u'm')",l,2
"(u'ay', u'd')","(u'ay', u'd')",r,1
"(u't', u'n')","(u'n', u't')",ah,67
"(u'ih', u'd')","(u'd', u'ih')",ay,1
"(u'th', u'ae')","(u'ae', u'th')",#,36
"(u'hh', u'd')","(u'd', u'hh')",ay,11
"(u'r', u't')","(u'r', u't')",aen,2
"(u'uw', u'f')","(u'f', u'uw')",#,133
"(u'hh', u'er')","(u'er', u'hh')",ah,5
"(u'p', u'tq')","(u'p', u'tq')",eyn,1
"(u'n', u'v')","(u'n', u'v')",#,88
"(u'k', u'g')","(u'g', u'k')",eh,1
"(u'r', u'g')","(u'g', u'r')",iy,11
"(u'ng', u't')","(u'ng', u't')",s,1
"(u'w', u'ah')","(u'ah', u'w')",ah,1
"(u'iy', u'r')","(u'iy', u'r')",ch,6
"(u'eh', u'm')","(u'eh', u'm')",n,9
"(u'p', u'ey')","(u'ey', u'p')",l,468
"(u'uw', u'sh')","(u'sh', u'uw')",l,1
"(u'ey', u'nx')","(u'ey', u'nx')",iy,1
"(u'nx', u'p')","(u'nx', u'p')",#,1
