"(u'ih', u'ow')",nx,986
"(u'w', u'dh')",#,12
"(u'#', u'k')",b,13
"(u'aw', u'#')",ah,3
"(u'ae', u's')",f,12
"(u'd', u'z')",ow,6
"(u'b', u'#')",uw,10
"(u'd', u'l')",er,7
"(u'ch', u'tq')",iy,5
"(u'ng', u'eng')",k,2
"(u'#', u'ch')",aw,2
"(u's', u'k')",ch,1
"(u'b', u'#')",d,15
"(u'el', u'r')",ah,4
"(u'aa', u'uw')",jh,2
"(u'ih', u'ih')",iy,1
"(u'ng', u'z')",#,4
"(u'sh', u'iy')",d,1
"(u'r', u'eh')",ih,17
"(u'jh', u'b')",ih,5
"(u'g', u'eh')",z,3
"(u'eh', u'oy')",n,2
"(u'el', u'sh')",uw,14
"(u'k', u'iy')",el,6
"(u'oy', u'#')",d,21
"(u'ao', u'k')",aa,1
"(u'f', u'g')",iy,4
"(u'hh', u'm')",aa,4
"(u'iy', u'iy')",n,7
"(u'r', u'ihn')",iyn,2
"(u'en', u'>')",t,1
"(u'f', u'ng')",ay,1
"(u'nx', u'n')",ow,7
"(u's', u'dx')",#,8
"(u'ey', u'oy')",#,1
"(u'w', u'hh')",ih,1
"(u'ao', u'ow')",s,22
"(u'ay', u'm')",er,33
"(u'p', u'ey')",d,1
"(u'ehn', u'ehn')",#,2
"(u'b', u'ih')",r,94
"(u'tq', u'f')",#,296
"(u'iy', u'eh')",th,16
"(u'ow', u'l')",aa,3
"(u'ehn', u'l')",el,1
"(u'#', u'd')",b,3
"(u'n', u'g')",#,354
"(u'ah', u'uh')",s,5
"(u'ihn', u'ah')",#,36
"(u'dx', u'ahn')",iy,1
"(u'ch', u'z')",uh,2
"(u'uh', u'r')",d,1
"(u'en', u'#')",uw,1
"(u'r', u'eh')",m,16
"(u'uw', u'#')",eng,1
"(u'uh', u'dx')",n,2
"(u'iy', u'iyn')",r,1
"(u's', u'tq')",iy,2
"(u'ng', u'own')",#,1
"(u'<', u'ae')",dh,3
"(u'#', u'ehn')",jh,1
"(u'd', u'ihn')",ow,1
"(u'ay', u'ih')",el,1
"(u'sh', u'n')",eh,56
"(u'm', u'#')",nx,1
"(u'#', u'ay')",p,123
"(u'ah', u'n')",ah,3
"(u'r', u'b')",er,1
"(u't', u'n')",#,1188
"(u'ch', u't')",er,2
"(u'y', u'm')",uw,46
"(u'r', u'iy')",ow,5
"(u'r', u'ih')",aa,3
"(u'ae', u'z')",r,5
"(u'th', u'#')",ahn,1
"(u'r', u'ihn')",dx,1
"(u'nx', u'aan')",#,3
"(u'n', u'y')",z,1
"(u'ae', u'f')",m,6
"(u'v', u'ng')",ihn,1
"(u'ae', u'r')",k,23
"(u'n', u't')",zh,1
"(u'jh', u's')",ow,2
"(u'ae', u'en')",r,1
"(u'eh', u'ihn')",nx,1
"(u'th', u'#')",eng,3
"(u'r', u'uw')",t,17
"(u'r', u'ih')",th,2
"(u'ae', u'eh')",dx,27
"(u'ihn', u'sh')",#,4
"(u'iy', u'sh')",k,1
"(u'aa', u'w')",b,1
"(u'er', u'n')",tq,6
"(u'ay', u'k')",iy,1
"(u'g', u'eh')",ah,2
"(u'dh', u'ih')",r,1
"(u'ay', u'er')",dh,3
"(u'k', u'p')",iy,176
"(u'th', u'r')",d,1
"(u'r', u'ey')",aa,2
"(u's', u'eh')",ow,9
"(u't', u'p')",aa,106
"(u'#', u'#')",eng,27
"(u'ae', u'#')",zh,9
"(u'sh', u'zh')",uh,1
"(u'jh', u'ay')",r,27
"(u's', u'ae')",dh,1
"(u'#', u'el')",g,1
"(u'f', u'ahn')",t,1
"(u'f', u'z')",eh,1
"(u'p', u'n')",oy,69
