"(u'uw', u'sh')",l,10
"(u'f', u'ow')",el,1
"(u'hh', u'ay')",em,65
"(u'd', u'z')",ow,181
"(u'l', u'sh')",z,2
"(u'd', u'l')",er,13
"(u'v', u'n')",ay,4
"(u'ow', u'v')",ey,1
"(u'm', u'hh')",ey,15
"(u'r', u'l')",z,51
"(u'm', u'aa')",d,6
"(u't', u'ey')",g,20
"(u'ae', u'aw')",l,1
"(u't', u'w')",el,32
"(u'ae', u'k')",t,196
"(u'n', u'eh')",jh,32
"(u'ay', u'oy')",ch,4
"(u'ae', u'el')",k,2
"(u'ow', u'sh')",m,4
"(u'jh', u'b')",ih,3
"(u'g', u'eh')",z,3
"(u'aw', u'ih')",dh,8
"(u'ch', u'm')",ey,1
"(u'z', u'oy')",b,4
"(u'ey', u'g')",m,5
"(u'b', u'ih')",g,1
"(u'l', u'dh')",er,9
"(u'dh', u'dh')",ow,21
"(u't', u'ow')",n,904
"(u'iy', u'iy')",n,121
"(u's', u'th')",ay,52
"(u'uw', u'aa')",ch,1
"(u'iy', u'd')",aa,15
"(u'jh', u'f')",iy,1
"(u'er', u'm')",k,3
"(u'r', u'w')",ay,62
"(u'iy', u'y')",g,2
"(u'ay', u'r')",ow,17
"(u'uw', u'ah')",y,3
"(u'm', u'y')",m,2
"(u'jh', u'y')",d,1
"(u'ow', u'l')",ay,51
"(u'p', u'ey')",d,1
"(u'ey', u'g')",ay,4
"(u'd', u'r')",ae,2
"(u'v', u'ey')",dh,28
"(u'r', u'v')",iy,54
"(u'b', u'ih')",r,86
"(u'ay', u'k')",ow,6
"(u'n', u'em')",uw,1
"(u'ih', u'f')",sh,5
"(u'ah', u'p')",v,200
"(u'n', u'f')",z,43
"(u'y', u'f')",ae,11
"(u'uw', u'ah')",ah,8
"(u'oy', u'y')",z,3
"(u'er', u'ay')",l,128
"(u'r', u'eh')",m,23
"(u'v', u'hh')",ay,8
"(u'iy', u'y')",ch,5
"(u'iy', u'sh')",ay,5
"(u'er', u'ay')",r,20
"(u'uh', u'sh')",l,4
"(u'<', u'ae')",dh,8
"(u'ah', u'ah')",y,1
"(u'uw', u'g')",ih,3
"(u'k', u'oy')",v,2
"(u'er', u't')",aa,3
"(u'd', u'em')",iy,1
"(u'th', u'ae')",ah,1
"(u'ey', u'ah')",v,44
"(u'eh', u'k')",t,27
"(u'ey', u'uw')",sh,4
"(u'iy', u'aa')",ah,8
"(u'ah', u'w')",ay,44
"(u'sh', u't')",iy,30
"(u'dh', u'em')",ow,3
"(u'ih', u'>')",z,2
"(u'ey', u'p')",z,15
"(u'ow', u't')",ah,1
"(u'd', u'ay')",d,11
"(u'n', u'er')",ay,1
"(u'jh', u'ae')",dh,22
"(u'ih', u'b')",f,7
"(u'ow', u't')",r,803
"(u'er', u'ah')",y,2
"(u'uw', u'uw')",n,21
"(u'ae', u'r')",k,31
"(u's', u'ow')",jh,7
"(u'iy', u'p')",f,1
"(u'jh', u's')",ow,4
"(u'n', u'p')",aw,2
"(u'n', u'dh')",t,283
"(u'ay', u'd')",ay,116
"(u't', u'eh')",ow,19
"(u'iy', u'er')",z,4
"(u'y', u'er')",ae,1
"(u'eh', u'ah')",z,8
"(u'd', u'uw')",v,7
"(u'ih', u'aa')",y,7
"(u'p', u'ch')",ih,1
"(u'ng', u'dh')",s,2
"(u'aa', u'w')",b,1
"(u'b', u'ay')",m,2
"(u'el', u'ey')",s,24
"(u'l', u'f')",er,8
"(u'p', u'f')",ae,7
"(u'ng', u'iy')",hh,42
"(u'ey', u'dh')",m,18
"(u'ng', u'jh')",ey,11
"(u'm', u'b')",d,4
"(u'ae', u'l')",p,15
"(u'uw', u'ae')",z,34
"(u'd', u'ih')",d,97
"(u'th', u'hh')",ey,3
"(u'k', u'p')",iy,154
"(u'th', u'r')",d,4
"(u'y', u'p')",ae,18
"(u't', u'uw')",f,12
"(u's', u'eh')",ow,27
"(u'd', u'dh')",iy,49
"(u'ng', u'aw')",sh,1
"(u't', u'p')",aa,110
"(u'ey', u'ih')",v,20
"(u'p', u'er')",iy,3
"(u's', u'ae')",dh,269
"(u'ay', u'ow')",er,1
"(u'n', u't')",ey,98
"(u'ay', u'uh')",b,1
"(u'p', u'n')",oy,125
"(u'er', u'aa')",f,10
"(u'uh', u'n')",l,4
"(u'v', u'aa')",ey,1
"(u'sh', u'p')",iy,23
"(u'd', u'ih')",ch,27
"(u'l', u'ae')",th,3
"(u'n', u'p')",ay,7
"(u'b', u'r')",ow,118
"(u'aw', u'd')",ah,33
"(u'er', u't')",l,1
"(u'uh', u'l')",l,3
"(u'ow', u'f')",k,1
"(u'r', u'er')",sh,1
"(u'ng', u'ey')",k,48
"(u'th', u'uh')",w,2
"(u'er', u'er')",s,9
"(u'oy', u'ey')",d,1
"(u'n', u'b')",ch,3
"(u't', u'r')",el,8
"(u'v', u'jh')",ay,2
"(u'ah', u'ey')",ch,48
"(u'uw', u'f')",m,4
"(u'er', u't')",th,2
"(u'aa', u'n')",d,5
"(u'ae', u'f')",n,38
"(u'm', u'm')",s,6
"(u'aa', u'hh')",z,7
"(u'uw', u'ay')",jh,2
"(u'd', u'f')",er,29
"(u'ih', u'r')",r,4
"(u'm', u'er')",th,2
"(u'v', u'ih')",y,68
"(u'em', u'eh')",w,47
"(u'aa', u'm')",s,1
"(u'hh', u'iy')",aw,2
"(u'jh', u'r')",iy,1
"(u'ih', u'f')",r,32
"(u'l', u'aa')",m,15
"(u'r', u'ae')",l,19
"(u'b', u'ih')",er,15
"(u'ae', u'iy')",m,13
"(u't', u'ih')",dh,174
"(u'ah', u'ah')",r,571
"(u'em', u'ih')",d,2
"(u'ow', u'y')",ch,1
"(u'y', u'r')",er,1
"(u'ih', u'z')",g,3
"(u'm', u'r')",ao,1
"(u'ay', u'm')",t,16
"(u'ay', u'ih')",r,88
"(u'uh', u'y')",sh,1
"(u'm', u'ey')",ay,12
"(u'th', u's')",er,3
"(u'm', u'uw')",b,1
"(u'ah', u'g')",m,38
"(u'p', u'l')",ih,15
"(u'iy', u'l')",l,75
"(u'ay', u'ae')",jh,1
"(u'ng', u'hh')",ay,7
"(u'p', u'uw')",t,80
"(u'iy', u'aa')",l,73
"(u'ch', u'ae')",m,2
"(u'ey', u'ch')",iy,1
"(u'n', u'dh')",th,1
"(u'k', u'er')",p,7
"(u'uw', u'g')",ay,4
"(u'iy', u'd')",s,3
"(u'd', u'aa')",t,39
"(u'ah', u'd')",ae,1
"(u't', u'ch')",ay,3
"(u'r', u'th')",z,9
"(u'ch', u'ah')",r,3
"(u'ah', u'y')",p,39
"(u'ng', u'ih')",sh,1
"(u'l', u'y')",p,10
"(u'z', u'l')",g,4
"(u'k', u'r')",eh,301
"(u't', u'em')",ah,2
"(u'aa', u'l')",d,5
"(u'ah', u'ow')",v,38
"(u'ey', u'dh')",t,46
"(u'eh', u'l')",s,17
"(u'ay', u'iy')",dh,79
"(u'aw', u'l')",d,1
"(u't', u'er')",g,12
"(u'n', u'f')",eh,9
"(u'dh', u'k')",ey,313
"(u'aa', u'p')",k,1
"(u'ah', u'hh')",s,32
"(u'aa', u'dh')",l,566
"(u'aa', u't')",sh,1
"(u'g', u'uw')",r,118
"(u'k', u'g')",ah,18
"(u'r', u'ih')",m,25
"(u'<', u'ah')",ay,2
"(u'ih', u'el')",s,4
"(u'ey', u'y')",el,4
"(u'z', u'er')",d,3
"(u'el', u'r')",b,6
"(u'ah', u'ey')",k,28
"(u'y', u'r')",ih,713
"(u'p', u'aw')",r,13
"(u'ae', u'em')",k,2
"(u'oy', u'iy')",sh,2
"(u'jh', u'd')",er,5
"(u'ow', u'iy')",z,8
"(u'ah', u'el')",z,5
"(u'd', u'uw')",t,1171
"(u'uh', u'w')",t,5
"(u'k', u'l')",ah,113
"(u'en', u'aa')",k,1
"(u'ch', u'n')",eh,9
"(u'eh', u'k')",r,93
"(u'ay', u'jh')",t,8
"(u'el', u'eh')",dh,35
"(u'ay', u'ih')",s,94
"(u'r', u't')",ey,301
"(u'er', u'aa')",k,52
"(u'uh', u'aa')",r,3
"(u'm', u't')",ae,167
"(u'ah', u'b')",t,95
"(u'iy', u'aa')",ay,5
"(u'k', u'k')",ah,6
"(u'ch', u'ay')",el,2
"(u'z', u'l')",b,15
"(u'uw', u'sh')",ae,1
"(u'l', u'ch')",p,1
"(u'ay', u'w')",l,14
"(u'uw', u'k')",ow,5
"(u'f', u'l')",s,1
"(u'v', u'r')",er,37
"(u'ay', u'aa')",g,201
"(u'th', u's')",aa,1
"(u'd', u's')",ih,357
"(u'ay', u'f')",k,79
"(u'ng', u'ae')",b,54
"(u'uw', u'ow')",v,24
"(u'er', u'aa')",d,26
"(u'y', u'b')",uw,92
"(u'ch', u'hh')",ah,1
"(u's', u'ih')",ow,273
"(u'ey', u'k')",n,12
"(u't', u'iy')",ch,8
"(u'd', u'ae')",iy,61
"(u'ay', u'g')",m,127
"(u'v', u'l')",iy,8
"(u'ey', u'ih')",p,25
"(u'l', u'b')",f,24
"(u'eh', u'l')",r,113
"(u'h', u'b')",em,1
"(u'er', u'uw')",y,249
"(u'n', u'uw')",sh,26
"(u'm', u'f')",ih,36
"(u'ih', u'ow')",d,17
"(u'ae', u'ng')",ae,1
"(u'd', u't')",eh,7
"(u'ey', u'b')",d,29
"(u'hh', u'w')",aw,29
"(u'eh', u's')",m,91
"(u'r', u'th')",ah,11
"(u'f', u'b')",aa,1
"(u'k', u'jh')",eh,1
"(u'n', u'jh')",d,113
"(u'er', u'iy')",dh,169
"(u'n', u'ch')",s,1
"(u'ae', u'r')",ch,13
"(u'k', u'r')",ow,286
"(u'b', u'k')",ah,32
"(u'ey', u'ae')",t,70
"(u'ow', u'ih')",p,32
"(u'ow', u'l')",k,28
"(u'ae', u'ay')",th,2
"(u'iy', u'aa')",sh,16
"(u'v', u'dh')",el,3
"(u'r', u'f')",ay,11
"(u'sh', u'p')",t,2
"(u'n', u'uh')",sh,8
"(u'eh', u'z')",m,6
"(u's', u'ay')",ah,12
"(u'sh', u'f')",t,2
"(u'ow', u'v')",ow,30
"(u'ey', u'w')",v,1
"(u's', u'uw')",d,28
"(u'iy', u'iy')",b,57
"(u'z', u'f')",er,1
"(u'sh', u'r')",ow,33
"(u'ae', u'v')",m,8
"(u'uh', u'l')",t,3
"(u'ey', u'ey')",d,65
"(u'k', u'ay')",t,37
