"(u'uw', u'sh')","(u'sh', u'uw')",l,10
"(u'f', u'ow')","(u'f', u'ow')",el,1
"(u'hh', u'ay')","(u'ay', u'hh')",em,65
"(u'd', u'z')","(u'd', u'z')",ow,181
"(u'l', u'sh')","(u'l', u'sh')",z,2
"(u'd', u'l')","(u'd', u'l')",er,13
"(u'v', u'n')","(u'n', u'v')",ay,4
"(u'ow', u'v')","(u'ow', u'v')",ey,1
"(u'm', u'hh')","(u'hh', u'm')",ey,15
"(u'r', u'l')","(u'l', u'r')",z,51
"(u'm', u'aa')","(u'aa', u'm')",d,6
"(u't', u'ey')","(u'ey', u't')",g,20
"(u'ae', u'aw')","(u'ae', u'aw')",l,1
"(u't', u'w')","(u't', u'w')",el,32
"(u'ae', u'k')","(u'ae', u'k')",t,196
"(u'n', u'eh')","(u'eh', u'n')",jh,32
"(u'ay', u'oy')","(u'ay', u'oy')",ch,4
"(u'ae', u'el')","(u'ae', u'el')",k,2
"(u'ow', u'sh')","(u'ow', u'sh')",m,4
"(u'jh', u'b')","(u'b', u'jh')",ih,3
"(u'g', u'eh')","(u'eh', u'g')",z,3
"(u'aw', u'ih')","(u'aw', u'ih')",dh,8
"(u'ch', u'm')","(u'ch', u'm')",ey,1
"(u'z', u'oy')","(u'oy', u'z')",b,4
"(u'ey', u'g')","(u'ey', u'g')",m,5
"(u'b', u'ih')","(u'b', u'ih')",g,1
"(u'l', u'dh')","(u'dh', u'l')",er,9
"(u'dh', u'dh')","(u'dh', u'dh')",ow,21
"(u't', u'ow')","(u'ow', u't')",n,904
"(u'iy', u'iy')","(u'iy', u'iy')",n,121
"(u's', u'th')","(u's', u'th')",ay,52
"(u'uw', u'aa')","(u'aa', u'uw')",ch,1
"(u'iy', u'd')","(u'd', u'iy')",aa,15
"(u'jh', u'f')","(u'f', u'jh')",iy,1
"(u'er', u'm')","(u'er', u'm')",k,3
"(u'r', u'w')","(u'r', u'w')",ay,62
"(u'iy', u'y')","(u'iy', u'y')",g,2
"(u'ay', u'r')","(u'ay', u'r')",ow,17
"(u'uw', u'ah')","(u'ah', u'uw')",y,3
"(u'm', u'y')","(u'm', u'y')",m,2
"(u'jh', u'y')","(u'jh', u'y')",d,1
"(u'ow', u'l')","(u'l', u'ow')",ay,51
"(u'p', u'ey')","(u'ey', u'p')",d,1
"(u'ey', u'g')","(u'ey', u'g')",ay,4
"(u'd', u'r')","(u'd', u'r')",ae,2
"(u'v', u'ey')","(u'ey', u'v')",dh,28
"(u'r', u'v')","(u'r', u'v')",iy,54
"(u'b', u'ih')","(u'b', u'ih')",r,86
"(u'ay', u'k')","(u'ay', u'k')",ow,6
"(u'n', u'em')","(u'em', u'n')",uw,1
"(u'ih', u'f')","(u'f', u'ih')",sh,5
"(u'ah', u'p')","(u'ah', u'p')",v,200
"(u'n', u'f')","(u'f', u'n')",z,43
"(u'y', u'f')","(u'f', u'y')",ae,11
"(u'uw', u'ah')","(u'ah', u'uw')",ah,8
"(u'oy', u'y')","(u'oy', u'y')",z,3
"(u'er', u'ay')","(u'ay', u'er')",l,128
"(u'r', u'eh')","(u'eh', u'r')",m,23
"(u'v', u'hh')","(u'hh', u'v')",ay,8
"(u'iy', u'y')","(u'iy', u'y')",ch,5
"(u'iy', u'sh')","(u'iy', u'sh')",ay,5
"(u'er', u'ay')","(u'ay', u'er')",r,20
"(u'uh', u'sh')","(u'sh', u'uh')",l,4
"(u'<', u'ae')","(u'<', u'ae')",dh,8
"(u'ah', u'ah')","(u'ah', u'ah')",y,1
"(u'uw', u'g')","(u'g', u'uw')",ih,3
"(u'k', u'oy')","(u'k', u'oy')",v,2
"(u'er', u't')","(u'er', u't')",aa,3
"(u'd', u'em')","(u'd', u'em')",iy,1
"(u'th', u'ae')","(u'ae', u'th')",ah,1
"(u'ey', u'ah')","(u'ah', u'ey')",v,44
"(u'eh', u'k')","(u'eh', u'k')",t,27
"(u'ey', u'uw')","(u'ey', u'uw')",sh,4
"(u'iy', u'aa')","(u'aa', u'iy')",ah,8
"(u'ah', u'w')","(u'ah', u'w')",ay,44
"(u'sh', u't')","(u'sh', u't')",iy,30
"(u'dh', u'em')","(u'dh', u'em')",ow,3
"(u'ih', u'>')","(u'>', u'ih')",z,2
"(u'ey', u'p')","(u'ey', u'p')",z,15
"(u'ow', u't')","(u'ow', u't')",ah,1
"(u'd', u'ay')","(u'ay', u'd')",d,11
"(u'n', u'er')","(u'er', u'n')",ay,1
"(u'jh', u'ae')","(u'ae', u'jh')",dh,22
"(u'ih', u'b')","(u'b', u'ih')",f,7
"(u'ow', u't')","(u'ow', u't')",r,803
"(u'er', u'ah')","(u'ah', u'er')",y,2
"(u'uw', u'uw')","(u'uw', u'uw')",n,21
"(u'ae', u'r')","(u'ae', u'r')",k,31
"(u's', u'ow')","(u'ow', u's')",jh,7
"(u'iy', u'p')","(u'iy', u'p')",f,1
"(u'jh', u's')","(u'jh', u's')",ow,4
