"(u'uw', u'sh')",l,10
"(u'f', u'ow')",el,1
"(u'hh', u'ay')",em,68
"(u'd', u'z')",ow,182
"(u'l', u'sh')",z,2
"(u'd', u'l')",er,26
"(u'm', u'hh')",ey,17
"(u'uw', u'g')",ih,3
"(u't', u'ey')",g,20
"(u'ae', u'aw')",l,1
"(u't', u'w')",el,32
"(u'ae', u'k')",t,269
"(u'n', u'eh')",jh,32
"(u'ay', u'oy')",ch,4
"(u'ow', u'sh')",m,4
"(u'g', u'eh')",z,3
"(u'aw', u'ih')",dh,8
"(u'ch', u'm')",ey,1
"(u'z', u'oy')",b,4
"(u'ey', u'g')",m,5
"(u's', u'er')",f,13
"(u'hh', u'm')",aa,28
"(u'iy', u'iy')",n,121
"(u's', u'th')",ay,53
"(u'uw', u'aa')",ch,1
"(u'iy', u'd')",aa,15
"(u'jh', u'f')",iy,1
"(u'r', u'w')",ay,67
"(u'iy', u'y')",g,2
"(u'ay', u'r')",ow,27
"(u'el', u'ow')",jh,2
"(u'm', u'y')",m,2
"(u'jh', u'y')",d,1
"(u'ow', u'l')",ay,51
"(u'ey', u'g')",ay,4
"(u'en', u'ay')",n,1
"(u'v', u'ey')",dh,28
"(u'r', u'v')",iy,55
"(u'n', u'em')",uw,1
"(u'ih', u'f')",sh,5
"(u'ah', u'p')",v,200
"(u'y', u'f')",ae,11
"(u'uw', u'ah')",ah,8
"(u'oy', u'y')",z,3
"(u'er', u'ay')",l,142
"(u'r', u'eh')",m,44
"(u'v', u'hh')",ay,8
"(u'iy', u'sh')",ay,5
"(u'er', u'ay')",r,20
"(u'uh', u'sh')",l,5
"(u'<', u'ae')",dh,8
"(u'el', u'r')",ah,5
"(u'k', u'oy')",v,2
"(u'er', u't')",aa,3
"(u'd', u'em')",iy,1
"(u'th', u'ae')",ah,2
"(u'eh', u'k')",t,50
"(u'ey', u'uw')",sh,5
"(u'iy', u'aa')",ah,8
"(u'sh', u't')",iy,43
"(u'y', u'm')",uw,150
"(u'ih', u'>')",z,2
"(u'ey', u'p')",z,15
"(u'ow', u't')",ah,6
"(u'd', u'ay')",d,19
"(u'jh', u'ae')",dh,22
"(u'ih', u'b')",f,8
"(u'ow', u't')",r,884
"(u'uw', u'uw')",n,21
"(u's', u'ow')",jh,7
"(u'n', u'dh')",t,283
"(u'ay', u'd')",ay,186
"(u'ih', u'aa')",y,7
"(u'el', u'eh')",f,2
"(u'ng', u'dh')",s,2
"(u'aa', u'w')",b,1
"(u'el', u'ey')",s,24
"(u'l', u'f')",er,8
"(u'p', u'f')",ae,10
"(u'ng', u'iy')",hh,42
"(u'ey', u'dh')",m,18
"(u'ng', u'jh')",ey,11
"(u'm', u'b')",d,4
"(u'ae', u'l')",p,31
"(u'uw', u'ae')",z,34
"(u'd', u'ih')",d,105
"(u'k', u'p')",iy,196
"(u'y', u'p')",ae,18
"(u't', u'uw')",f,12
"(u's', u'eh')",ow,27
"(u'ng', u'aw')",sh,1
"(u't', u'p')",aa,125
"(u'uw', u'p')",v,2
"(u'jh', u'ay')",r,1
"(u's', u'ae')",dh,269
"(u'ay', u'ow')",er,2
"(u'n', u't')",ey,133
"(u'ay', u'uh')",b,1
"(u'p', u'n')",oy,125
"(u'er', u'aa')",f,33
"(u'v', u'aa')",ey,1
"(u'sh', u'p')",iy,25
"(u'd', u'ih')",ch,27
"(u'l', u'ae')",th,14
"(u'n', u'p')",ay,17
"(u'b', u'r')",ow,133
"(u'aw', u'd')",ah,33
"(u'r', u'er')",sh,1
"(u'ng', u'ey')",k,48
"(u'th', u'uh')",w,2
"(u'er', u'er')",s,9
"(u'oy', u'ey')",d,1
"(u't', u'r')",el,13
"(u'ah', u'ey')",ch,48
"(u'ae', u'f')",n,38
"(u'm', u'm')",s,6
"(u'aa', u'hh')",z,7
"(u'uw', u'ay')",jh,3
"(u'm', u'er')",th,7
"(u'v', u'ih')",y,68
"(u'em', u'eh')",w,47
"(u'aa', u'm')",s,28
"(u'hh', u'iy')",aw,2
"(u'd', u'ih')",ow,7
"(u'l', u'aa')",m,21
"(u'r', u'ae')",l,19
"(u'b', u'ih')",er,15
"(u'uw', u'uh')",t,4
"(u't', u'ih')",dh,174
"(u'ah', u'ah')",r,571
"(u'em', u'ih')",d,3
"(u'ow', u'y')",ch,1
"(u'm', u'r')",ao,1
"(u'ay', u'ih')",r,144
"(u'uh', u'y')",sh,1
"(u'm', u'ey')",ay,60
"(u'th', u's')",er,7
"(u'm', u'uw')",b,1
"(u'ah', u'g')",m,41
"(u'iy', u'l')",l,79
"(u'ay', u'ae')",jh,1
"(u'ng', u'hh')",ay,7
"(u'p', u'uw')",t,82
"(u'iy', u'aa')",l,77
"(u'ch', u'ae')",m,3
"(u'ey', u'ch')",iy,1
"(u'n', u'dh')",th,1
"(u'k', u'er')",p,7
"(u'uw', u'g')",ay,4
"(u'ah', u'd')",ae,1
"(u't', u'ch')",ay,3
"(u'r', u'th')",z,9
"(u'ch', u'ah')",r,3
"(u'ah', u'y')",p,39
"(u'ng', u'ih')",sh,1
"(u'l', u'y')",p,10
"(u'z', u'l')",g,4
"(u't', u'em')",ah,2
"(u'aa', u'l')",d,22
"(u'ah', u'ow')",v,44
"(u'ey', u'dh')",t,46
"(u'ay', u'iy')",dh,79
"(u't', u'er')",g,12
"(u'n', u'f')",eh,37
"(u'dh', u'k')",ey,350
"(u'ah', u'hh')",s,32
"(u'aa', u'dh')",l,566
"(u'g', u'uw')",r,188
"(u'k', u'g')",ah,18
"(u'<', u'ah')",ay,2
"(u'ey', u'y')",el,4
"(u'el', u'r')",b,6
"(u'y', u'r')",ih,713
"(u'p', u'aw')",r,13
"(u'aa', u'b')",zh,1
"(u'jh', u'd')",er,8
"(u'd', u'uw')",t,1171
"(u'uh', u'w')",t,5
"(u'k', u'l')",ah,159
"(u'ch', u'n')",eh,9
"(u'eh', u'k')",r,143
"(u'ay', u'jh')",t,8
"(u'el', u'eh')",dh,35
"(u'ay', u'ih')",s,242
"(u'aw', u'sh')",er,5
"(u'er', u'aa')",k,66
"(u'uh', u'aa')",r,3
"(u'm', u't')",ae,182
"(u'ah', u'b')",t,96
"(u'k', u'k')",ah,6
"(u'ch', u'ay')",el,2
"(u'z', u'l')",b,15
"(u'uw', u'sh')",ae,1
"(u'ay', u'w')",l,14
"(u'ah', u'ay')",ah,22
"(u'v', u'r')",er,37
"(u'ay', u'aa')",g,201
"(u'th', u's')",aa,1
"(u'd', u's')",ih,431
"(u'ay', u'f')",k,79
"(u'ng', u'ae')",b,54
"(u'uw', u'ow')",v,24
"(u'er', u'aa')",d,30
"(u'y', u'b')",uw,92
"(u'ch', u'hh')",ah,1
"(u's', u'ih')",ow,273
"(u'd', u'ae')",iy,61
"(u'ay', u'g')",m,128
"(u'l', u'b')",f,24
"(u'h', u'b')",em,1
"(u'er', u'uw')",y,249
"(u'n', u'uw')",sh,26
"(u'm', u'f')",ih,36
"(u'ae', u'ng')",ae,1
"(u'ey', u'b')",d,30
"(u'v', u'eh')",w,40
"(u'th', u'ah')",iy,21
"(u'r', u'th')",ah,16
"(u'f', u'b')",aa,1
"(u'n', u'jh')",d,114
"(u'er', u'iy')",dh,169
"(u'n', u'ch')",s,1
"(u'k', u'r')",ow,338
"(u'b', u'k')",ah,139
"(u'ow', u'ih')",p,58
"(u'ow', u'l')",k,38
"(u'ae', u'ay')",th,3
"(u'iy', u'aa')",sh,17
"(u'v', u'dh')",el,3
"(u'r', u'f')",ay,18
"(u'ow', u'v')",ow,31
"(u'ey', u'w')",v,1
"(u's', u'uw')",d,39
"(u'iy', u'iy')",b,57
"(u'sh', u'r')",ow,34
"(u'el', u'f')",eh,1
"(u'uh', u'l')",t,4
"(u'ey', u'ey')",d,65
"(u'el', u'hh')",d,2
"(u'l', u'iy')",jh,9
"(u'd', u'y')",z,67
"(u'ae', u'ch')",t,30
"(u'ey', u'ah')",ey,7
"(u'jh', u'aa')",oy,2
"(u'b', u'ey')",l,18
"(u'z', u'ae')",m,69
"(u'b', u'em')",er,1
"(u'ey', u'l')",ey,30
"(u'ah', u'm')",ey,12
"(u'iy', u'r')",z,54
"(u't', u'z')",ow,8
"(u'r', u'>')",iy,1
"(u'th', u'uh')",b,2
"(u'th', u'p')",ow,1
"(u'l', u'ey')",r,6
"(u'k', u'er')",aw,18
"(u'ng', u'eh')",k,29
"(u'z', u'ay')",r,67
"(u'aa', u'eh')",th,6
"(u'ah', u'ae')",s,217
"(u'ah', u'ay')",ay,29
"(u'th', u'w')",s,8
"(u'uw', u'iy')",dh,503
"(u'z', u'v')",iy,59
"(u'ow', u'b')",th,2
"(u'v', u'ih')",er,61
"(u'b', u'>')",el,2
"(u'er', u'z')",m,33
"(u'ah', u't')",sh,2
"(u'p', u'z')",er,37
"(u'd', u'ah')",uw,34
"(u'el', u'ay')",v,2
"(u'th', u'd')",s,1
"(u'iy', u'ae')",y,116
"(u'ey', u'b')",aa,5
"(u'd', u'l')",el,1
"(u's', u'd')",t,211
"(u'm', u'ow')",d,12
"(u'iy', u's')",ae,25
"(u'aa', u'dh')",jh,3
"(u'uh', u'ae')",s,1
"(u'iy', u'uw')",g,4
"(u'ih', u'b')",g,20
"(u'ih', u'dh')",l,63
"(u'l', u'aa')",ih,1
"(u'jh', u'eh')",oy,1
"(u'l', u'p')",d,10
"(u'el', u'uw')",hh,73
"(u'f', u'sh')",ae,9
"(u'p', u'f')",t,22
"(u'aa', u'ay')",r,23
"(u'y', u'w')",ah,3
"(u'n', u's')",d,841
"(u'th', u'ah')",b,9
"(u'<', u'n')",ih,1
"(u'ae', u'ae')",hh,2
"(u'm', u'iy')",er,1
"(u'z', u'ow')",s,252
"(u'dh', u'm')",er,45
"(u'n', u'ih')",ey,4
"(u't', u'iy')",r,711
"(u'aw', u'f')",n,23
"(u'<', u'ay')",hh,1
"(u'v', u'eh')",hh,10
"(u'ow', u'uw')",z,3
"(u'ay', u'f')",ih,15
"(u'eh', u'dh')",ch,1
"(u'jh', u'ih')",y,1
"(u'k', u'r')",d,18
"(u'el', u'ih')",iy,1
"(u'ay', u'ih')",el,1
"(u'iy', u'l')",z,110
"(u'n', u'r')",b,24
"(u'sh', u'n')",eh,1
"(u'hh', u'aa')",uw,34
"(u'ih', u'ow')",f,227
"(u'sh', u'uh')",n,1
"(u'd', u'ow')",sh,10
"(u'uh', u't')",d,94
