"(u'ih', u'ow')",nx,1088
"(u'ih', u'n')",el,1
"(u'uw', u'ah')",y,37
"(u'm', u'p')",p,1
"(u'm', u'hh')",ey,2
"(u'r', u'l')",z,35
"(u'ow', u'p')",v,1
"(u'el', u'r')",ah,21
"(u't', u'w')",el,2
"(u'ay', u'oy')",ch,4
"(u'tq', u'ihn')",ah,1
"(u'r', u'y')",hh,3
"(u'm', u'hh')",z,5
"(u'hh', u'ay')",uh,1
"(u'f', u'g')",iy,4
"(u'dx', u's')",aa,1
"(u'oy', u's')",ng,1
"(u'en', u'w')",z,13
"(u'ay', u'm')",er,40
"(u'p', u'ey')",d,2
"(u'v', u'ey')",dh,21
"(u'tq', u'dx')",en,1
"(u'tq', u'jh')",ay,10
"(u'dx', u'l')",ao,114
"(u'r', u'en')",el,1
"(u'eh', u'iy')",d,35
"(u'dx', u'ahn')",iy,3
"(u'oy', u'y')",z,2
"(u'r', u'eh')",m,32
"(u'ow', u'eyn')",m,2
"(u'aa', u'iy')",own,1
"(u'ao', u'k')",ay,3
"(u'd', u'ihn')",ow,1
"(u'm', u'aa')",d,7
"(u'r', u'p')",ey,7
"(u'ay', u'n')",en,9
"(u'aa', u'uw')",jh,2
"(u'g', u's')",uh,4
"(u'ow', u'th')",t,3
"(u'dh', u'em')",ow,2
"(u'ay', u'dh')",en,2
"(u'k', u'nx')",eh,71
"(u'dx', u'ah')",hh,5
"(u'n', u'y')",z,18
"(u'ae', u'en')",r,1
"(u'n', u'dh')",t,91
"(u'ay', u'd')",ay,33
"(u'dx', u'l')",f,2
"(u'eh', u'ah')",z,90
"(u'ih', u'aa')",y,6
"(u'aa', u'w')",b,13
"(u'n', u'd')",sh,1
"(u'l', u'f')",er,5
"(u'en', u'p')",iy,2
"(u'r', u'th')",aa,1
"(u'ih', u'b')",sh,7
"(u'm', u'b')",d,3
"(u'ay', u'k')",iy,2
"(u'g', u'own')",y,1
"(u'y', u'p')",ae,13
"(u's', u'eh')",ow,62
"(u't', u'p')",aa,103
"(u'k', u'ah')",th,17
"(u'aa', u'uh')",b,10
"(u'ng', u'ao')",en,1
"(u'tq', u'aw')",hh,19
"(u'ay', u'uh')",b,6
"(u'ey', u'w')",aen,1
"(u'ng', u'nx')",ih,19
"(u'eh', u's')",eh,9
"(u's', u'ey')",ih,3
"(u'sh', u'p')",iy,18
"(u'sh', u'ih')",th,2
"(u'w', u'g')",ih,14
"(u'ae', u'ch')",zh,1
"(u'v', u'jh')",ay,3
