"(u'ih', u'ow')","(u'ih', u'ow')",nx,1088
"(u'ih', u'n')","(u'ih', u'n')",el,1
"(u'uw', u'ah')","(u'ah', u'uw')",y,37
"(u'm', u'p')","(u'm', u'p')",p,1
"(u'm', u'hh')","(u'hh', u'm')",ey,2
"(u'r', u'l')","(u'l', u'r')",z,35
"(u'ow', u'p')","(u'ow', u'p')",v,1
"(u'el', u'r')","(u'el', u'r')",ah,21
"(u't', u'w')","(u't', u'w')",el,2
"(u'ay', u'oy')","(u'ay', u'oy')",ch,4
"(u'tq', u'ihn')","(u'ihn', u'tq')",ah,1
"(u'r', u'y')","(u'r', u'y')",hh,3
"(u'm', u'hh')","(u'hh', u'm')",z,5
"(u'hh', u'ay')","(u'ay', u'hh')",uh,1
"(u'f', u'g')","(u'f', u'g')",iy,4
"(u'dx', u's')","(u'dx', u's')",aa,1
"(u'oy', u's')","(u'oy', u's')",ng,1
"(u'en', u'w')","(u'en', u'w')",z,13
"(u'ay', u'm')","(u'ay', u'm')",er,40
"(u'p', u'ey')","(u'ey', u'p')",d,2
"(u'v', u'ey')","(u'ey', u'v')",dh,21
"(u'tq', u'dx')","(u'dx', u'tq')",en,1
"(u'tq', u'jh')","(u'jh', u'tq')",ay,10
"(u'dx', u'l')","(u'dx', u'l')",ao,114
"(u'r', u'en')","(u'en', u'r')",el,1
"(u'eh', u'iy')","(u'eh', u'iy')",d,35
"(u'dx', u'ahn')","(u'ahn', u'dx')",iy,3
"(u'oy', u'y')","(u'oy', u'y')",z,2
"(u'r', u'eh')","(u'eh', u'r')",m,32
"(u'ow', u'eyn')","(u'eyn', u'ow')",m,2
"(u'aa', u'iy')","(u'aa', u'iy')",own,1
"(u'ao', u'k')","(u'ao', u'k')",ay,3
"(u'd', u'ihn')","(u'd', u'ihn')",ow,1
"(u'm', u'aa')","(u'aa', u'm')",d,7
"(u'r', u'p')","(u'p', u'r')",ey,7
"(u'ay', u'n')","(u'ay', u'n')",en,9
"(u'aa', u'uw')","(u'aa', u'uw')",jh,2
"(u'g', u's')","(u'g', u's')",uh,4
"(u'ow', u'th')","(u'ow', u'th')",t,3
"(u'dh', u'em')","(u'dh', u'em')",ow,2
"(u'ay', u'dh')","(u'ay', u'dh')",en,2
"(u'k', u'nx')","(u'k', u'nx')",eh,71
"(u'dx', u'ah')","(u'ah', u'dx')",hh,5
"(u'n', u'y')","(u'n', u'y')",z,18
"(u'ae', u'en')","(u'ae', u'en')",r,1
"(u'n', u'dh')","(u'dh', u'n')",t,91
"(u'ay', u'd')","(u'ay', u'd')",ay,33
"(u'dx', u'l')","(u'dx', u'l')",f,2
"(u'eh', u'ah')","(u'ah', u'eh')",z,90
"(u'ih', u'aa')","(u'aa', u'ih')",y,6
"(u'aa', u'w')","(u'aa', u'w')",b,13
"(u'n', u'd')","(u'd', u'n')",sh,1
"(u'l', u'f')","(u'f', u'l')",er,5
"(u'en', u'p')","(u'en', u'p')",iy,2
"(u'r', u'th')","(u'r', u'th')",aa,1
"(u'ih', u'b')","(u'b', u'ih')",sh,7
"(u'm', u'b')","(u'b', u'm')",d,3
"(u'ay', u'k')","(u'ay', u'k')",iy,2
"(u'g', u'own')","(u'g', u'own')",y,1
"(u'y', u'p')","(u'p', u'y')",ae,13
"(u's', u'eh')","(u'eh', u's')",ow,62
"(u't', u'p')","(u'p', u't')",aa,103
"(u'k', u'ah')","(u'ah', u'k')",th,17
"(u'aa', u'uh')","(u'aa', u'uh')",b,10
"(u'ng', u'ao')","(u'ao', u'ng')",en,1
"(u'tq', u'aw')","(u'aw', u'tq')",hh,19
"(u'ay', u'uh')","(u'ay', u'uh')",b,6
"(u'ey', u'w')","(u'ey', u'w')",aen,1
"(u'ng', u'nx')","(u'ng', u'nx')",ih,19
"(u'eh', u's')","(u'eh', u's')",eh,9
"(u's', u'ey')","(u'ey', u's')",ih,3
"(u'sh', u'p')","(u'p', u'sh')",iy,18
"(u'sh', u'ih')","(u'ih', u'sh')",th,2
"(u'w', u'g')","(u'g', u'w')",ih,14
"(u'ae', u'ch')","(u'ae', u'ch')",zh,1
"(u'v', u'jh')","(u'jh', u'v')",ay,3
"(u'aa', u'uw')","(u'aa', u'uw')",w,4
"(u'uw', u'f')","(u'f', u'uw')",m,5
"(u'ch', u'uh')","(u'ch', u'uh')",r,4
"(u'er', u'ao')","(u'ao', u'er')",t,39
"(u'th', u'm')","(u'm', u'th')",ao,1
"(u'ay', u's')","(u'ay', u's')",zh,1
"(u'er', u'g')","(u'er', u'g')",ch,3
"(u'uw', u'uh')","(u'uh', u'uw')",t,6
"(u'r', u'uw')","(u'r', u'uw')",iy,1
"(u'nx', u'aa')","(u'aa', u'nx')",ay,2
"(u'ih', u'uw')","(u'ih', u'uw')",w,5
"(u'v', u'uh')","(u'uh', u'v')",uh,1
"(u'ey', u't')","(u'ey', u't')",ah,8
"(u'uh', u'ao')","(u'ao', u'uh')",w,1
"(u'k', u'eh')","(u'eh', u'k')",en,11
"(u'ih', u't')","(u'ih', u't')",dx,2
"(u'nx', u'iy')","(u'iy', u'nx')",eh,2
"(u'iy', u'l')","(u'iy', u'l')",l,50
"(u'l', u'em')","(u'em', u'l')",p,5
"(u'dx', u'l')","(u'dx', u'l')",ahn,1
"(u'ch', u'ae')","(u'ae', u'ch')",m,3
"(u'n', u'ao')","(u'ao', u'n')",eh,2
"(u'n', u'dh')","(u'dh', u'n')",th,1
"(u'eh', u'g')","(u'eh', u'g')",sh,1
"(u'en', u'hh')","(u'en', u'hh')",k,1
"(u'ch', u'ah')","(u'ah', u'ch')",r,123
"(u'l', u'own')","(u'l', u'own')",iy,2
"(u'aa', u'n')","(u'aa', u'n')",p,3
"(u'ihn', u'dh')","(u'dh', u'ihn')",s,3
"(u'ay', u'iy')","(u'ay', u'iy')",dh,10
