"(u'd', u'ae')",z,2
"(u'r', u'dh')",ah,2
"(u'g', u'ae')",r,14
"(u'r', u'z')",ih,3
"(u'r', u'ey')",m,2
"(u'ow', u'ae')",m,1
"(u'w', u'm')",ih,4
"(u'er', u'ae')",hh,1
"(u'er', u'iy')",l,3
"(u'ae', u'jh')",n,1
"(u'm', u'aa')",d,1
"(u'iy', u'p')",ah,1
"(u'ae', u'k')",t,2
"(u'r', u'uw')",t,4
"(u'ch', u'z')",er,1
"(u'n', u'ah')",ah,1
"(u'iy', u'ih')",p,1
"(u'l', u'er')",ch,3
"(u'm', u'ah')",f,1
"(u's', u'iy')",w,3
"(u'ay', u'eh')",g,9
"(u'k', u'd')",uh,2
"(u'f', u'd')",er,1
"(u'ch', u'iy')",d,1
"(u'k', u'd')",ih,7
"(u'ah', u'dh')",d,1
"(u'z', u'r')",p,2
"(u'iy', u'er')",l,1
"(u'm', u'n')",ae,14
"(u'uw', u's')",z,1
"(u'ah', u'hh')",s,4
"(u'eh', u'p')",s,1
"(u'w', u'ay')",ey,4
"(u'm', u'k')",ah,2
"(u'er', u'ah')",ch,1
"(u'b', u'ay')",t,1
"(u'm', u'ae')",b,1
"(u'ng', u'jh')",k,1
"(u's', u'v')",ow,1
"(u'v', u'ey')",dh,1
"(u'n', u'jh')",d,2
"(u'uw', u'ae')",y,2
"(u'ng', u'ay')",l,1
"(u'uw', u'l')",aa,1
"(u'ae', u'ih')",t,8
"(u'ow', u'ah')",t,2
"(u'ah', u'p')",v,1
"(u'b', u't')",ay,1
"(u'y', u'ae')",uw,2
"(u'ow', u'n')",aa,1
"(u'ey', u'r')",d,1
"(u'm', u'r')",ae,9
"(u'er', u'ay')",l,1
"(u't', u'ah')",t,4
"(u'f', u'eh')",ay,2
"(u't', u'ow')",y,2
"(u'm', u'eh')",z,2
"(u'er', u'ih')",r,1
"(u'ey', u'g')",er,4
"(u'ch', u'n')",ay,2
"(u'z', u't')",ay,2
"(u'er', u'f')",d,1
"(u'ih', u'ow')",k,1
"(u'iy', u'g')",z,4
"(u'uh', u'dh')",l,2
"(u'y', u'd')",er,1
"(u'n', u'ow')",iy,1
"(u'm', u'k')",ih,2
"(u'ey', u'p')",z,1
"(u'v', u'ay')",s,2
"(u'k', u'ih')",hh,4
"(u'd', u'ay')",d,1
"(u'ow', u't')",r,30
"(u'ae', u'f')",m,3
"(u'ey', u'er')",n,7
"(u'zh', u'l')",ah,1
"(u'n', u'd')",d,5
"(u's', u'ow')",jh,1
"(u'n', u'k')",d,7
"(u'n', u'er')",p,3
"(u'g', u'ay')",r,2
"(u'iy', u'ow')",n,3
"(u'n', u'dh')",t,1
"(u'el', u'aw')",hh,1
"(u'n', u'ey')",t,1
"(u'ay', u'd')",ay,2
"(u'ay', u'iy')",m,36
"(u's', u'ih')",th,3
"(u'ih', u'ih')",g,1
"(u'eh', u'ah')",v,5
"(u'hh', u'd')",ae,13
"(u't', u'z')",er,4
"(u'ch', u'l')",ay,6
"(u'r', u'r')",iy,1
"(u'r', u'th')",aa,1
"(u'ow', u'ay')",r,1
"(u'r', u'n')",ow,1
"(u'd', u'ah')",s,5
"(u'k', u'n')",ih,2
"(u'ah', u'jh')",m,2
"(u'er', u'p')",z,2
"(u'p', u'er')",m,2
"(u'ng', u'ae')",dh,5
"(u'y', u'y')",uw,2
"(u'b', u'b')",el,4
"(u'er', u'd')",ay,1
"(u't', u'p')",aa,1
"(u'd', u'z')",ih,4
"(u'aa', u'ah')",p,1
"(u'r', u'm')",ae,4
"(u'p', u'l')",uw,1
"(u'n', u'l')",k,2
"(u'k', u'eh')",s,2
"(u'k', u's')",t,5
"(u'ay', u'm')",ay,1
"(u'ae', u't')",n,5
"(u'z', u'ae')",uw,1
"(u'ch', u'ay')",t,2
"(u'b', u'r')",ow,3
"(u'ey', u'jh')",er,2
"(u'z', u'ah')",k,4
"(u'n', u'iy')",w,10
"(u't', u't')",ay,1
"(u'p', u'l')",ow,2
"(u'r', u's')",eh,1
"(u's', u'ah')",k,2
"(u'ah', u'eh')",dh,1
"(u'ae', u'aa')",s,1
"(u'n', u'v')",ah,8
"(u'd', u'f')",iy,2
"(u'w', u'n')",aa,7
"(u'l', u's')",ow,2
"(u'd', u'f')",er,1
"(u'n', u'b')",z,2
"(u'p', u'k')",eh,1
"(u'v', u'ih')",y,2
"(u's', u'ih')",ey,1
"(u't', u'ah')",s,3
"(u'v', u'ih')",l,2
"(u't', u'ae')",uw,3
"(u'r', u'eh')",dh,2
"(u'l', u'aa')",m,1
"(u'w', u'r')",ih,1
"(u'iy', u'p')",n,4
"(u'iy', u'er')",d,2
"(u'ah', u'ah')",r,12
"(u'iy', u'ae')",r,2
"(u'v', u'ay')",hh,1
"(u'ih', u's')",n,7
"(u'ay', u'm')",t,4
"(u'ah', u'aa')",w,1
"(u'ay', u'ih')",r,3
"(u'r', u'ay')",f,2
"(u'm', u'uw')",b,1
"(u'k', u'eh')",k,2
"(u'p', u'l')",ih,2
"(u'm', u's')",ow,2
"(u'v', u'ow')",dh,1
"(u'n', u'r')",t,7
"(u'm', u'ih')",z,1
"(u'hh', u'jh')",iy,1
"(u'r', u'p')",eh,1
"(u'm', u'jh')",ae,2
"(u'ng', u'ay')",n,2
"(u'k', u'er')",p,2
"(u't', u'r')",ih,2
"(u'ng', u'ow')",z,1
"(u'w', u'f')",er,1
"(u't', u'ow')",n,25
"(u'd', u'd')",aa,1
"(u'iy', u't')",ey,6
"(u'n', u'l')",ow,1
"(u'iy', u'iy')",n,1
"(u'ih', u'l')",t,7
"(u'ah', u't')",s,53
"(u'iy', u'hh')",v,1
"(u'f', u'ay')",l,2
"(u'ay', u'l')",er,3
"(u'm', u'b')",ey,4
"(u'k', u'r')",eh,13
"(u'ey', u'ae')",f,5
"(u'd', u'aw')",n,4
"(u'ah', u'ow')",v,4
"(u'ey', u'dh')",t,3
"(u'b', u'f')",ay,2
"(u'p', u'ih')",w,3
"(u'dh', u'k')",ey,3
"(u'g', u'ih')",ow,12
"(u'aa', u'dh')",l,4
"(u'n', u'l')",ah,10
"(u'er', u'iy')",p,1
"(u'g', u'uw')",r,1
"(u'eh', u'th')",r,1
"(u'p', u'k')",ih,5
"(u'n', u'y')",el,2
"(u'uw', u'eh')",dh,2
"(u'n', u'd')",ey,1
"(u'ae', u'ah')",d,1
"(u'r', u'er')",p,1
"(u'y', u'r')",ih,15
"(u'd', u's')",uw,1
"(u'er', u'sh')",l,2
"(u'er', u'ae')",dh,2
"(u'd', u'uw')",t,15
"(u't', u'g')",iy,1
"(u'b', u'ey')",r,4
"(u'd', u'hh')",uw,1
"(u'ae', u'd')",t,2
"(u'k', u'n')",ae,15
"(u'k', u'l')",ah,6
"(u'n', u'aa')",n,2
"(u'l', u'w')",ah,1
"(u'v', u'ow')",m,2
"(u'eh', u'k')",r,6
"(u'g', u'd')",uh,7
"(u'ay', u'ih')",s,6
"(u'r', u't')",ey,2
"(u'er', u'hh')",z,2
"(u'm', u't')",ae,6
"(u'v', u'er')",hh,1
"(u'p', u'ae')",hh,1
"(u'ow', u'aa')",m,2
"(u'r', u'eh')",ow,1
"(u'ay', u's')",ay,1
"(u'ow', u'ey')",w,2
"(u'z', u'ah')",m,3
"(u'ey', u'eh')",dh,1
