"(u'hh', u'ay')","(u'ay', u'hh')",em,4
"(u'd', u'z')","(u'd', u'z')",ow,5
"(u'ow', u'v')","(u'ow', u'v')",ey,1
"(u'r', u'l')","(u'l', u'r')",z,1
"(u'm', u'aa')","(u'aa', u'm')",d,1
"(u't', u'ey')","(u'ey', u't')",g,3
"(u't', u'w')","(u't', u'w')",el,1
"(u'ae', u'k')","(u'ae', u'k')",t,6
"(u'n', u'eh')","(u'eh', u'n')",jh,1
"(u'z', u'oy')","(u'oy', u'z')",b,1
"(u'dh', u'dh')","(u'dh', u'dh')",ow,2
"(u't', u'ow')","(u'ow', u't')",n,36
"(u'iy', u'iy')","(u'iy', u'iy')",n,9
"(u's', u'th')","(u's', u'th')",ay,1
"(u'r', u'w')","(u'r', u'w')",ay,2
"(u'ow', u'l')","(u'l', u'ow')",ay,3
"(u'ey', u'g')","(u'ey', u'g')",ay,1
"(u'v', u'ey')","(u'ey', u'v')",dh,3
"(u'n', u'jh')","(u'jh', u'n')",d,2
"(u'b', u'ih')","(u'b', u'ih')",r,4
"(u'ow', u'l')","(u'l', u'ow')",aa,2
"(u'ah', u'p')","(u'ah', u'p')",v,6
"(u's', u'ih')","(u'ih', u's')",d,4
"(u'er', u'ay')","(u'ay', u'er')",l,6
"(u'r', u'eh')","(u'eh', u'r')",m,1
"(u'ey', u'ah')","(u'ah', u'ey')",v,2
"(u'ah', u'w')","(u'ah', u'w')",ay,1
"(u'sh', u't')","(u'sh', u't')",iy,3
"(u'y', u'm')","(u'm', u'y')",uw,2
"(u'ey', u'p')","(u'ey', u'p')",z,1
"(u'jh', u'ae')","(u'ae', u'jh')",dh,2
"(u'ow', u't')","(u'ow', u't')",r,30
"(u'ae', u'f')","(u'ae', u'f')",m,3
"(u'ae', u'r')","(u'ae', u'r')",k,4
"(u's', u'ow')","(u'ow', u's')",jh,1
"(u'n', u'dh')","(u'dh', u'n')",t,5
"(u'ay', u'd')","(u'ay', u'd')",ay,6
"(u'aa', u'w')","(u'aa', u'w')",b,1
"(u'l', u'f')","(u'f', u'l')",er,1
"(u'r', u'th')","(u'r', u'th')",aa,1
"(u'ey', u'dh')","(u'dh', u'ey')",m,1
"(u'jh', u'v')","(u'jh', u'v')",ah,1
"(u'uw', u'ae')","(u'ae', u'uw')",z,1
"(u'k', u'p')","(u'k', u'p')",iy,1
"(u'y', u'p')","(u'p', u'y')",ae,1
"(u'd', u'dh')","(u'd', u'dh')",iy,1
"(u't', u'p')","(u'p', u't')",aa,9
"(u'ey', u'ih')","(u'ey', u'ih')",v,2
"(u's', u'ae')","(u'ae', u's')",dh,10
"(u'n', u't')","(u'n', u't')",ey,9
"(u'p', u'n')","(u'n', u'p')",oy,2
"(u'sh', u'p')","(u'p', u'sh')",iy,1
"(u'd', u'ih')","(u'd', u'ih')",ch,1
"(u'n', u'p')","(u'n', u'p')",ay,1
"(u'b', u'r')","(u'b', u'r')",ow,5
"(u'aw', u'd')","(u'aw', u'd')",ah,1
"(u'ng', u'ey')","(u'ey', u'ng')",k,3
"(u't', u't')","(u't', u't')",ay,2
"(u'ae', u'f')","(u'ae', u'f')",n,4
