label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
iy,0.0390985290795,0.332985597151,-0.569388097241,-0.584385461377,0.576169509309,-0.463350995256,0.551032297117,0.400863942494,0.656667943532,0.561723369409,-0.417857500239,0.43499897447,0.346338034622,0.506599527867,0.608494999173,0.538996646456,-0.0391996196062,-0.576906650868,0.525353412834,0.691533826249,0.641112830861,0.349321917335,-0.471972034711,0.357326092425,-0.184806722034,0.633564138106,-0.186022171861,0.54811079835,0.396740707044,0.490698582265
el,0.345002475898,0.0256431737609,-0.00434677803022,-0.488797200119,0.206502476685,-0.355644367093,0.382199352736,0.346525532846,0.467834257835,0.054065180476,0.0541541087861,0.378719072257,0.0636816821452,-0.252335910682,0.39573821581,0.521644624251,-0.409687687084,0.0840191461898,0.365813139927,-0.256331801841,0.355791005164,-0.497074510202,-0.19699638355,-0.458531573859,-0.451307899207,-0.297634080291,0.383645968895,0.488324654578,0.0794256926883,0.586168080025
aa,0.608676798747,0.489303154393,-0.487935663956,0.273887771388,0.206712887513,0.685437955689,0.675601815657,0.497785379096,0.326092617349,0.732454095098,-0.666137544765,-0.0254542631302,-0.467062424728,0.161300793205,-0.210257763953,0.672606011955,0.433429949994,0.111633782637,-0.0304898878388,0.111957330217,-0.63069613865,-0.144377990632,0.0870476700871,0.402274771054,0.38057777557,0.167168257751,0.464726262717,0.454721698928,0.0513281794058,-0.641848612795
ch,-0.241021995995,0.183963542868,0.0552187468039,-0.201901095557,-0.153549564915,-0.33786142222,-0.377837872631,-0.155971502045,-0.389380446017,-0.260172005735,0.445509292957,0.392797793029,-0.523367492333,-0.0778602876305,-0.380882421659,0.384915278385,-0.220247037053,0.451843624756,0.192301756196,0.142342508133,0.174294217147,0.110672763816,0.306716943923,-0.65046875324,-0.439021930045,-0.459746970034,-0.510362156834,-0.183197008024,-0.107104004656,0.183662442746
ae,0.571565810531,-0.253265155034,0.530825726669,-0.510862313594,0.666668655399,0.621095193242,-0.419259852681,0.512942416027,-0.200374180294,0.529081250753,-0.590134755287,-0.624292040283,-0.276276805047,0.492885397088,0.0231078791566,0.636760754769,0.396343755037,-0.615491952845,0.579948768502,-0.417909296531,-0.628735714945,0.600771558402,-0.595148379147,0.501441159392,-0.449469842511,0.382070654089,-0.35673918884,0.498012959427,-0.0303686340578,0.436059551771
eh,-0.0771280972424,0.533683754991,0.12968880884,0.470793379964,0.533895543661,0.596009692259,0.485732329575,0.324728066514,0.505331829562,0.566034353395,-0.640181897885,-0.629932482221,0.169422179795,0.555905495545,0.427472194972,0.392855498132,-0.35880516332,-0.521903534941,-0.576146854702,-0.607162071956,-0.533352635128,0.379539134334,-0.251637374693,0.581628161103,-0.512940454385,0.390836770691,0.292345996959,0.722783519668,0.15194951831,-0.29814059592
ah,0.374910732685,0.426750796628,0.479685265104,-0.591820183722,-0.0817606282788,0.509881217513,0.518592833051,0.605151614765,0.256427415237,0.564986426083,-0.629204643214,-0.638661339176,-0.492171221465,0.137075061515,0.322677879067,0.305077680575,-0.511974984513,-0.0954944957654,-0.363908976318,0.392913158695,-0.564801681571,0.515331289392,0.294145910817,-0.544210894044,0.45631938694,0.612107604241,0.703404868501,0.684891506491,0.481325710975,0.552115530375
ao,0.0189384556185,0.0841924512166,-0.0479435395068,-0.185130222771,0.0855581081168,-0.0260255280221,-0.0442057982883,0.0498477576803,0.0148743565972,-0.0733879228566,0.0105343795799,0.121158033452,-0.010637022155,0.107226320904,-0.0621968292117,0.0938820284119,0.0111606608201,0.00215506073101,0.11898776807,-0.00216054027702,0.0777604423579,0.0594035921939,-0.0362436115867,0.0172839967337,-0.103427802525,-0.0664720220379,0.0933270208896,0.0378670406722,0.010429384757,-0.0273431096108
ih,-0.127273293664,0.173595501746,0.398281980516,-0.0510304193982,0.407618362553,0.673382208501,0.689354305264,0.634110210978,-0.375461936902,0.483875379389,-0.765036936897,-0.699042520034,0.615823824364,-0.403561527307,0.307755492842,0.309396568253,0.765506919997,-0.688439591297,0.597886919648,0.176980077547,-0.739993787822,0.290222006002,-0.478477847631,0.173582513168,0.546240910343,-0.478580870574,0.385190608107,0.728953118202,-0.0471712647091,-0.226609573661
en,0.0549518171387,0.115734353077,0.0613484485436,-0.516865312795,0.0704921835382,0.346945691927,-0.0423669022596,0.111695744064,0.54214547173,-0.356116295149,0.437568137979,0.338314523077,0.0650240037867,0.356415150192,0.305351915257,0.373847370139,-0.0479419777982,-0.287511975782,0.571065323629,0.183294538956,-0.425918329544,-0.379376420619,0.537513981813,0.499152622402,-0.0171847514945,-0.538340528898,0.281050320838,0.395715472882,-0.356244540342,0.376695744722
