label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
iy,0.373742506934,0.681154277499,0.472472532313,-0.486912866938,0.511299630497,-0.663955124085,0.0359873821978,-0.571563190861,-0.186117058809,0.128149955941,0.620122061923,-0.446716666657,-0.519472996035,0.486813525462,-0.272442347853,0.562852561659,0.651274857933,0.38396684548,0.520205352386,0.633628505045
el,-0.267543049116,-0.461991288033,-0.374279282942,-0.556498010143,0.164038960753,-0.452237627603,-0.379465077082,-0.0166980370189,-0.029728609788,0.476885308929,0.444543136989,-0.373778706376,-0.331899178727,0.296479696668,0.591051369688,0.463326407139,0.155589805438,0.436471697729,0.461073592947,-0.27040204405
aa,-0.386361871058,0.317209297009,0.54660221108,0.72519967435,0.28794204609,-0.447756077805,0.516143214172,-0.399111644297,0.440172901471,-0.000214117844634,0.574005855938,0.0356705384384,-0.356239700282,-0.443824904521,-0.481785281682,-0.680833617092,-0.441715482577,0.570170722442,0.514040196957,0.629340085739
ch,0.300991542743,-0.188623907489,0.0359435353929,0.110520853601,-0.349913812221,0.400988736609,-0.216265062769,0.163149869245,-0.020803670885,-0.415977005808,-0.327556131859,0.237987413334,-0.0673764625876,0.256194853438,0.455003567009,0.3098150122,0.419382534025,0.257631447859,-0.443058656673,-0.563329990537
ae,0.524818666753,-0.647474504859,-0.641753132472,0.643453663253,0.683809763513,-0.724410378399,0.373924711042,-0.586391531996,0.818132532144,-0.0357972490863,0.35729644351,-0.634659270464,-0.493662634686,-0.592996461427,-0.460998810944,-0.593255502594,0.551675700572,-0.41218846162,0.565306996468,0.632481830889
eh,0.23048819157,0.582585792748,0.467624733557,0.49475932015,0.249851606357,-0.64014461558,0.512900464115,-0.717428964229,0.696864901689,-0.678208226482,0.733717996708,-0.689037877738,-0.495452405214,-0.210020650575,0.553734789583,-0.555354279967,-0.468142319704,-0.272952588362,0.601258729902,-0.17449692248
ah,-0.522091608222,0.310231930029,-0.432670988019,0.500065602265,0.687122907076,-0.584874470685,0.501432690156,0.658765871343,0.495291837914,-0.553508168375,0.594185270459,-0.52251227312,-0.738804532947,0.461213529444,0.315551163871,0.354430386158,-0.521741430528,0.344896438919,0.616753622643,0.622884387238
ao,0.0881727287153,-0.0497188383745,0.0302305899891,0.068294704783,0.0453598780101,-0.00838188608762,-0.0514782664277,0.0257503894593,0.0648305605306,0.0423946392748,-0.0338509936037,-0.0920094494895,-0.0335538128724,0.0216400377322,0.0213143174331,0.033358637504,0.00762536487748,0.0635782160883,0.0495825138567,-0.0190885430906
ih,0.645086708259,0.562238057828,-0.52668349342,0.5098861923,0.165094361778,-0.468492573966,0.60068962156,0.114906429523,0.660117056394,0.687051818674,0.609246454989,-0.692455621911,-0.532216073948,0.14583948016,-0.351982954529,-0.528753877129,-0.614436662506,-0.671811891438,0.477487272321,0.535427196611
en,-0.0442958652481,0.0598610948964,-0.434103618529,-0.144115135972,0.339752737694,-0.218040910374,-0.312207808475,0.195354527924,0.276499309219,0.466537740549,0.344556349746,0.468015307625,-0.367494692534,-0.266883548711,0.329128809237,-0.361910708282,-0.00765981360059,0.157643328451,-0.12903963896,-0.0191948828731
