label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
iy,-0.386795584633,-0.341288142536,0.487007544228,-0.376430476575,-0.571117335305,0.423671349507,-0.501768646315,-0.553066449138,-0.48821045076,-0.51551186356,-0.191264678275,0.4893059651,0.461275311535,0.304601883533,-0.382461998362,-0.551377052121,-0.600951095907,0.471072610838,0.391603698791,-0.563782158246,0.233456634585,0.393101839302,-0.324225726994,0.261204446349,-0.599935485109
el,-0.408957742684,0.331971197724,0.584628638841,-0.0933749826234,-0.0667943656563,0.124519377892,0.386152690809,0.395094168134,-0.337955507135,-0.542041921018,0.232058843755,0.351233842995,-0.124144188752,-0.441207039052,-0.0781387758531,-0.0935102990631,-0.101654769977,-0.239384789808,-0.0318206095701,-0.526685176202,0.148388958387,0.0641754012745,-0.548244605451,-0.207267064294,-0.357132255406
aa,0.43397655065,-0.682826795392,-0.305122650232,-0.035349614016,-0.502063624061,-0.488402739454,-0.457276286247,-0.586415980682,0.394912273502,-0.600533130816,0.221830627634,0.378880321307,0.388637424464,0.521044590351,-0.401606297605,0.0718897575624,-0.614203313502,-0.507731226612,-0.403202457635,-0.531698591425,0.55479721727,-0.573107310754,0.215204730986,0.421465132089,0.40584700229
ch,-0.144454986199,0.348844698939,0.0616483281603,-0.171532654893,0.547282775255,0.0424250606378,-0.235013997272,-0.110040569099,-0.127879392004,0.485589168342,0.442456186779,-0.283452813241,0.352471855206,-0.452167130841,-0.0734847076342,0.0872774625122,0.339235790852,0.132068852381,-0.316607366579,0.137586745911,-0.300517676355,0.505240009408,0.128683999959,0.231061078302,-0.441540173556
ae,-0.421484303631,-0.499063647869,0.620223769778,0.489989444726,-0.614846883478,-0.521413293938,-0.502573545246,-0.641780361332,0.472519916348,-0.616293977149,-0.36841875702,-0.644907097863,0.50354318329,0.588069591284,0.55206848977,-0.355945773307,-0.629246147207,-0.348812894257,-0.62602390611,0.340039384633,0.639851830644,-0.457109005702,-0.068246711214,-0.608529808322,-0.436315286898
eh,0.383835793515,-0.535315398411,0.504307301339,-0.528365400211,-0.625261715375,-0.60803573292,-0.454941348387,-0.565074036922,-0.378014097386,-0.582674829644,-0.415913096293,-0.254207841098,0.522025534877,0.54959576192,0.393848311722,0.539013317889,-0.694748496113,-0.650612795547,0.0337288984704,-0.183916244736,-0.212622233067,-0.395534726039,-0.427896711616,0.106447146229,0.404347071135
ah,0.504762768564,-0.536346083476,0.537382316319,-0.540854137798,0.419462704189,0.608496010407,-0.443346650482,-0.00109636819614,-0.505138429721,-0.307850995996,0.19076450391,0.482010669931,0.579345743339,0.453969059703,0.366978810591,-0.303056753046,-0.466501451858,-0.382318071582,-0.527889468784,-0.364922727632,0.564699036166,-0.629799197287,-0.496916973291,-0.564731196748,0.330236685194
ao,0.0171461356186,-0.0237461656892,-0.0284920662199,0.0203122276468,-0.0466270233301,-0.0366413819987,-0.0350395755909,-0.0052413737845,0.0499322377153,-0.0341647734196,0.00494122715304,-0.056213424889,-0.0205255594227,0.0624579693165,0.0338822615247,-0.0440509006388,-0.016668884854,0.0123286744085,-0.0666292443363,-0.0381111701397,0.058209294093,0.0944175304905,-0.0389922007633,0.0327156151348,0.0150810514509
ih,-0.526186475596,-0.565647492733,-0.181003426003,-0.226223492853,-0.625185503728,0.507902485052,-0.444728690388,-0.0889514498168,0.581951871249,-0.517843027925,-0.475682758185,-0.547334146351,0.609364693133,0.577056035049,0.539647360314,-0.505309787654,-0.585998698531,-0.58528229823,-0.359966777446,-0.678440033773,-0.142009410186,-0.56951989102,-0.0876423994672,-0.40325926117,0.590693037979
en,-0.389522764276,-0.0554628642674,0.0818660642241,-0.372177849788,-0.237772192015,-0.3370340535,0.111297261949,0.537582647012,0.293954427091,-0.455132423279,0.22339451876,0.246199466399,-0.0430623411535,0.314762639511,-0.257615029916,-0.245064194668,0.112155299847,-0.30557873726,-0.244784251386,0.194484533386,0.154766905986,0.199510188097,0.00532931622585,-0.330549432527,0.226294318948
ey,0.156348358869,0.222129792277,0.0849455540864,-0.408231780782,-0.389950411013,-0.533689372618,-0.211556298407,-0.428989412809,0.488198019051,-0.421992438706,-0.347294182636,0.331185336495,0.471425202701,-0.191947933483,0.45653031658,-0.307413041037,-0.692589139903,-0.570402917724,-0.396914611585,-0.262356134183,0.47480179695,0.657965330466,-0.527603858303,-0.42891770277,-0.17452475468
aw,-0.0911557637043,-0.390506694391,0.269185135446,-0.146489784977,-0.208634444351,0.117084933134,-0.544492242259,0.0767062692239,0.395579753789,-0.532225406435,0.0146766381249,-0.306654423897,-0.229696929931,0.481348174003,-0.47735383955,0.024203983717,-0.605041840455,-0.406890841579,-0.526434372674,-0.371287073164,0.33582468463,0.464162071354,0.570141553529,-0.539296341157,-0.399719935695
ay,0.529937991341,0.311108768422,0.613903578577,0.480472279781,-0.514432046668,-0.615034913458,-0.57060971373,-0.492833812949,-0.338016739956,-0.609312913695,-0.311811372913,0.462582580074,-0.0466182847081,0.576039278632,0.491138772995,-0.582222698637,-0.475580292289,0.44105020104,-0.450560950082,-0.576609849256,0.637088436826,0.382793365648,0.532267863072,-0.572604132712,0.329065252549
zh,-0.0866579645337,0.00843833756929,-0.0767359807947,0.0877161341609,-0.0700722550739,0.116812070659,0.162613427285,0.0981125876534,0.209091015256,-0.0036560426813,0.153313576353,-0.00994469601746,0.0259048929491,-0.182883774724,0.0311064838839,0.14792377485,0.197315354394,0.181217090624,0.0395307282882,-0.0634351465155,-0.0774858419331,0.161269358977,-0.111858197734,0.168194624236,0.0106258888662
er,-0.477428250814,-0.454898749589,0.538372252254,0.188990399007,-0.336218074718,0.0661124906383,0.403906943977,0.0601502135037,-0.219608754711,-0.46986779221,-0.460357846659,0.351368759047,0.442505522432,0.389199529177,0.635239271002,0.416259514238,0.549695074152,-0.540199687672,0.406281416449,-0.525334691231,0.555757874462,0.247561197401,-0.467036962102,-0.349559208615,-0.223608700273
#,0.604475463452,-0.663382054032,0.573635883055,-0.644302934213,-0.541941675849,0.681355602557,0.745818188422,0.761894613549,0.529333590866,0.634888731925,-0.449650789928,0.538234590664,0.642796019127,-0.696006983309,-0.554900975744,0.620161355896,0.692531906637,0.679997534641,0.567404094454,0.627755168607,-0.705752911165,-0.634443187024,0.619759477265,-0.734919135023,0.651561038512
ng,-0.656051261156,0.570488709056,0.383223562138,0.362355497575,0.609147210158,-0.578427514319,0.571933540355,-0.429726300348,0.413962223349,0.533723657814,-0.48819475954,0.566007709222,-0.500098884396,-0.549488241126,0.384383095881,-0.564612994818,0.377575729833,-0.38973280142,0.571090914581,-0.460187058605,-0.288804080588,-0.487647955556,-0.604817377683,0.592683007798,-0.0603572425698
r,-0.54138901282,-0.401087686675,-0.505803016513,0.493562028971,0.436719383089,-0.629761914474,0.598147568855,0.580453138295,-0.35664509775,-0.491292187923,-0.43892842671,-0.442094845078,0.178552398825,-0.504013806341,-0.564405798266,0.507559935812,0.535716932213,0.544211516788,-0.631136945323,-0.34853530073,0.540327649906,0.537726073354,-0.526728340666,0.255760906404,0.446461095909
