label,c1,c2,c3,c4,c5
iy,0.667025753546,1.21311702271,0.0922478573576,0.330125863992,-0.592527078732
el,0.00690454396147,0.294976169069,-0.965424240707,0.0411077246951,-0.894239944882
aa,0.80314615651,0.344766296966,1.11005589327,-0.453734907679,0.248995151018
ch,-0.95504383795,0.0821856277093,-0.382918499524,0.309383653016,0.334732910292
ae,0.855846385238,0.604705332514,1.1039937898,-1.10806013127,-1.23245898289
eh,1.38035683306,1.18982282046,0.338413822851,-0.734740184154,0.343312946659
ah,0.748901036294,0.717510997327,-0.0143157643437,-0.486859351836,0.0598698878035
ao,-0.227417654614,0.0416797349646,-0.0162121457054,0.0461304836681,-0.0104685617524
ih,0.855228774965,0.196247327957,0.31802568504,-1.36244393953,0.0859304743356
en,0.194424590651,-0.605100755326,0.35170712043,0.124218444145,-0.535125760127
ey,0.223496946777,1.0508171885,0.218418163345,-0.287059429001,-0.4483224976
aw,0.129204424822,0.201887868978,0.677873736432,-0.470140916354,-0.358149639317
ay,0.158104057189,0.925490396809,1.13319300212,0.199960535239,-0.639512622771
zh,-0.404880797197,-0.202035253461,-0.317598150059,0.234696134101,0.0228201410774
er,0.468079316168,0.512838859165,-0.838914791291,-0.28027714772,-0.554470138065
#,1.27096309552,-1.50635183538,-1.46846835016,1.10609595923,1.41884988578
ng,-1.28433992972,0.637281426045,-1.26436882114,1.04898779025,-1.03850096396
r,-0.648454773954,-0.878551521899,-0.802628407505,-0.741778077382,-0.876027639993
th,-0.671745569028,0.493568508257,-0.0393023575161,0.982446376995,-0.0288069824976
t,-1.09455369439,0.82232434296,-0.682466373307,0.233964794323,0.697979439725
<,-0.0990646724403,-0.26278745149,-0.53459591059,0.217850281243,0.173406288508
>,-0.112332856002,-0.430497276732,-0.287107748008,-0.0123530446672,0.294051366733
w,-0.971480714135,-0.697201055075,0.843276336912,0.439563015958,0.392164860578
dh,-1.2173293227,-1.21884324147,0.482656476572,-0.530080711301,1.22478793998
y,-0.76199572197,0.676781178412,-0.642577681922,-0.63632760354,1.13341280612
hh,-0.517929921966,-0.201174578303,-0.170717528352,-0.665003451596,0.670481002406
jh,-0.912668396461,-0.204187206281,0.0488052643766,0.383871116743,0.113616656045
em,-0.252792146379,0.642520654649,-0.616255942795,-1.14114250427,-0.745567511588
b,-0.80978266921,-0.693263176955,0.161467220003,0.219938513655,0.391705586093
d,-1.0929001609,0.630732698455,-0.203648838365,0.99842084382,0.651750111516
g,-0.805675300095,-0.665774293926,0.49925765286,0.629182350437,0.182357610351
f,-1.27246430773,-0.11609615146,-0.0616493611778,0.261667271277,0.415543113862
h,-0.253197537664,-0.0138891866997,-0.0747537709398,0.015758653425,0.0780649984799
k,-1.02959053336,0.1030311459,-0.190843994595,0.317237434292,0.734646949102
m,-0.939712453373,-0.478663978201,-0.0775665106066,0.287215037886,0.216969324432
l,-0.790014353212,-0.510438752044,-0.803391579865,-0.297983385839,-0.320250086253
n,-0.645714686825,-0.799595670424,-0.409188207159,0.0746794469834,-0.800548783016
p,-0.753538381083,-0.344489100355,0.290861580761,0.274943060993,0.658087029336
s,-0.578356670386,-0.948940679093,0.301418149226,0.213173759055,-0.529551537158
sh,-1.22214252297,-0.0982999701668,-0.393048093354,0.180742494972,0.3826777616
uh,0.827054395029,0.221317417632,-0.290906318329,-0.358586540202,-0.833146299292
oy,0.153272405303,0.279141634192,-0.0608669012353,-0.227883075638,-0.174580289783
v,-1.01173757295,-0.448589057686,0.186988848949,0.879959406756,0.170621319497
ow,0.402203549644,1.11135278184,0.940659363895,0.323495788021,0.156225849563
z,-0.26130314959,-0.217074821019,-0.538853293275,0.932853752762,-0.42855558077
uw,1.12792807056,-0.0482601871767,1.21594317389,0.946666035528,-0.983972703565
