label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
iy,0.679470291147,-0.73102430625,-0.633980257899,-0.626450412759,0.748612784336,-0.728112906224,-0.993615379935,-0.585082008251,0.212706294145,0.00949629639053,-0.536369959146,-0.618351291035,0.513688646169,0.0662528197747,-0.672845125048
el,0.458285833854,-0.221020391968,-0.498307781177,0.703888630474,0.296005914568,-0.720609484789,0.00795123597979,-0.650116482827,0.192483569928,-0.00493803759282,0.305798304111,0.134827496457,0.430010612579,-0.309098467032,-0.0154598998146
aa,0.634596432151,-0.533807683549,-0.680872431234,-0.823493056585,0.840761343834,-0.582748669068,0.449693358683,0.283057323236,-0.516926329547,-0.638746099122,0.174259039043,0.0303530514044,-0.606174495974,0.711344038577,0.680412479141
ch,-0.00978564298685,-0.555574712088,0.905159673336,0.492312819482,-0.449445425926,0.434698793772,0.52002778444,0.215174004177,-0.164133788542,0.2251446616,0.437664913588,0.45416894415,0.418435717178,0.463589846656,-0.297353506683
ae,-0.457552578916,-0.622298668506,-0.0398223789546,-0.109273312134,0.622174812638,0.22407692173,0.959989264393,-0.906948386152,0.508274854255,-0.611218699428,-0.716343125787,-0.733798641077,-0.882082633348,0.618943233126,-0.44934934541
eh,0.839772285581,-0.371602034617,-0.764557998888,-0.56614770432,0.41420460308,-0.212196594181,0.806627076484,-0.372440720102,0.494321037862,0.339257627855,-0.564647037772,-0.52216567353,-0.746804074723,0.987848701522,0.853524158724
ah,0.528430735366,0.561881301221,-0.55612531763,-0.453310132965,0.704191186015,-0.62526471877,1.04724682649,-0.424911541213,-0.731842447254,0.470469725265,-0.0974022327157,-0.381721269095,-0.568920696668,0.191627033276,-0.389058121521
ao,-0.0349949363224,-0.110562775359,0.0950895286931,0.0563948348102,0.0988323531569,0.0809188190894,0.0922604597288,-0.00831045854657,-0.00962762627465,0.00236986579044,0.0341155052199,0.0189385224542,0.115870734723,0.0704257171829,0.0388278010084
ih,-0.625820020695,0.500282134466,-0.880341385464,-0.768922864916,0.821661580746,-1.03378523839,0.554030346441,0.626219652572,0.852871929602,-0.334819752451,-0.978344901049,-0.10505370119,-0.885994601757,0.8641070373,0.0350237155515
en,-0.384150503364,-0.54525637904,-0.624258353233,-0.549254040328,-0.0603663613955,0.658760730178,0.750830692529,0.438789261665,-0.0668131979888,-0.244642746515,-0.444389611938,0.590978159607,-0.533694984154,-0.477639633421,-0.369530575346
ey,0.190483686326,-0.16329298837,0.0883543597057,-0.896207412458,-0.351943148727,-0.600696270916,0.0550370367981,-0.591406812213,0.299476707462,-0.315684350394,-0.324990444195,-0.808384254087,-0.106200137899,0.360057820327,-0.658192525843
