label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
iy,-0.59799931122,-0.233651231471,0.687889348643,-0.199691787177,-0.661845979194,-0.140700893823,-0.580316370856,0.545369056579,-0.535597220672,-0.371636465018,-0.767953527621,0.669924851214,0.628527478349,0.568809785526,0.34376087799,-0.460137275309,0.267513590248,0.500182429123,0.400464184432,-0.565863241087,0.119522051627,-0.569868267571,-0.337458372806,0.0210347631,-0.393585739887
el,-0.620111558596,0.420665651105,0.216549888591,-0.388621902808,-0.466420713038,-0.0204352852163,0.375281575322,0.42839460543,-0.44981960206,-0.10528692631,0.175721338068,-0.323786737743,-0.104599920021,-0.522512499379,0.101085410032,0.264669075628,-0.322030364148,0.400805629455,0.199199690326,-0.386719988482,0.0964182985286,-0.349509250669,-0.395077697653,-0.120912516887,-0.466699546662
aa,0.0375550678377,0.0121259762403,0.504073634775,0.583072656936,0.00102032815951,-0.574307515651,-0.342294043188,-0.14811378425,0.435084952035,-0.0356077604785,0.391793780718,0.627314746603,0.658589757753,-0.343874196073,-0.673505142181,-0.412655660206,-0.636100317596,-0.676402334709,-0.0756199905044,-0.606116474444,0.493972807563,-0.630250350523,0.0148802060886,-0.655635841276,-0.184890553499
ch,-0.0182015306456,0.448317440186,0.0079829561994,-0.17218456284,-0.381531394912,-0.204955838474,0.13829010245,-0.233121263533,0.416897597324,-0.0707885279961,0.14331956291,-0.498217551196,-0.416375101424,-0.587168646751,0.373885371969,-0.211677645106,0.0539371423903,-0.0639628264504,-0.116123712855,0.10519923479,-0.491395750625,0.68440346382,0.317127103378,0.608256124493,0.134512733075
ae,-0.392461661384,-0.466665741421,0.638997808713,0.239008569634,-0.55638281292,-0.386936222213,-0.606252574439,-0.258076568042,0.479644066339,-0.579725427344,-0.59279488857,-0.549408068195,0.286943916185,0.489226959388,0.223262440782,0.324435519596,-0.6652875675,-0.488818957373,-0.579808799135,0.662254055813,0.508541755079,-0.460126040328,-0.507492929855,-0.0198522776162,0.625813382911
eh,0.264766103321,-0.458590939398,0.74790197631,-0.181039480109,-0.534948598718,-0.720678638833,0.0148233888362,0.533305842017,0.546966931147,0.621987925996,-0.119344449485,0.728703964282,0.327521602109,0.611343202063,0.082855208317,0.522767638224,-0.5560597962,-0.775770643047,-0.440198156818,-0.782367610204,0.537869372591,-0.514245344236,-0.624480694835,-0.412170921109,0.306606338843
ah,-0.614786870035,-0.310198342063,0.668066267738,-0.407860603134,-0.421589624486,0.18133842931,-0.532557228458,0.673780404677,-0.305475609555,0.561487145158,0.507898839073,0.202669027637,0.48492375273,-0.182866863708,0.0240290274262,-0.424565756553,-0.675540712719,-0.787397687628,-0.538699337071,-0.0548209710792,-0.0730554218982,-0.614667283447,0.494638516864,-0.541202071584,0.625098717648
ao,-0.0936082894486,0.000577203223405,-0.0478145347164,0.0140280615624,0.0125464601324,-0.0310138601544,0.0522296380958,-0.0117982445686,0.0603922369753,0.0083671447557,-0.0775414819165,0.0221252437764,-0.0115905162957,-0.0308450401901,0.0152767850416,-0.00152020758752,-0.132617408076,0.0746476070819,-0.0486274161026,0.00467174817593,0.00328138149677,0.09314519688,0.0155318562567,0.0129393607281,-0.00406783806678
ih,-0.660089800779,-0.505943305365,-0.602859708079,0.603214167706,-0.643830055416,-0.413214141471,0.0681224845142,0.0146316294468,0.499614966861,0.631694812505,-0.466194278438,-0.416960422208,0.75595024547,0.518598102964,-0.758351190646,-0.665757416767,-0.605831019665,-0.667897011827,-0.688270052866,-0.67723520162,0.494283596823,-0.560379353445,-0.543115860742,-0.636283548659,0.589411104582
en,-0.586425702529,-0.489697962189,-0.286790343136,0.0703210212959,0.213976930632,0.368228058232,-0.401448533733,0.277790934565,0.529301669719,-0.425932553913,0.560957067157,-0.321169388557,-0.0860717670809,0.400943987028,-0.504167221748,0.218274720767,-0.642369979525,0.0275406024889,-0.414450482926,-0.505852633373,0.570291386156,0.193183835555,0.000966318760425,0.392964481332,-0.213571663117
ey,-0.630010858793,-0.610293226994,0.628948889388,-0.231603839981,-0.632058293261,-0.314658367143,0.137820255396,-0.239719734606,-0.062080110984,0.460746851523,0.0806922603506,0.533609782435,0.585305429722,0.231073684764,0.365326164907,-0.343066511778,-0.38183057865,-0.106733445783,0.173468345012,0.132249553855,0.69459596985,0.51684843264,-0.699943892486,0.562090278677,-0.327481177182
aw,-0.707741212962,0.485057554929,0.621489097714,0.460842990419,-0.471121815922,0.283104647159,-0.281307356521,0.125404707184,0.254182385149,-0.302712109334,-0.20473951113,-0.501480725941,0.479182051761,0.579184333829,-0.189768072086,-0.119504902313,-0.512408683488,-0.061423598178,-0.425205879884,-0.378353869597,0.579839041368,0.473548580824,0.536906811999,-0.111993734395,-0.28630697416
ay,0.355269281336,-0.569454538464,-0.236892368298,-0.377197282815,-0.407996442691,0.240689174748,-0.461710586942,-0.546294371861,-0.275453073573,-0.261990973023,-0.558908125254,0.393025194543,0.537082481309,-0.0660596598083,0.270424303248,-0.550543631709,-0.596288894772,0.0341260174981,-0.678828607416,-0.561804591873,0.376171208221,0.405217343751,0.118797325482,-0.478159417213,0.424052798826
zh,-0.284226776206,-0.0388844588306,-0.246744556982,-0.176702451626,0.0854341217502,0.15968093002,0.176089131431,-0.0259607152487,0.311130462454,-0.0829255973818,-0.166279232649,0.146609646161,-0.298511212627,-0.225230980241,0.174028454617,0.158108651837,-0.17765617937,0.240219284452,0.196611099305,-0.0347722315524,-0.330536037127,0.164303688546,0.0561799877233,0.140763232088,0.00395229856174
er,-0.598415702376,-0.661887723996,0.481156090707,-0.481592229924,0.405173539902,0.376658511166,0.326089731625,-0.461565017891,-0.356522894208,0.643641730644,-0.112771637043,-0.324541749901,0.667250079598,0.514974993357,0.530058957033,0.519197092635,-0.043611200822,-0.0429220148953,0.294703508754,-0.332795212422,0.542561344682,-0.518463540528,-0.407728761418,-0.577090096045,-0.543379230148
#,-0.0947522037953,0.0112278483524,-0.0643396045045,0.00926685007314,0.0130375011407,-0.0157716644635,0.0476855692791,-0.0165667777554,0.0622446706648,-0.00493296988366,-0.0623866079641,0.00293989975021,-0.0269841932831,-0.0290049068903,0.0311788889734,0.00885961388262,-0.121614249446,0.0832290679225,-0.044436422094,0.00642945416902,0.00998621191959,0.110695476323,0.0226429065491,0.0330217690872,0.00117129032294
ng,-0.331078951636,-0.47518905586,-0.509615844595,-0.452773987442,0.612674165871,-0.587981459684,0.58424462014,0.328770065864,0.507371149726,-0.636448223109,0.062712231793,-0.53342347196,-0.644042955962,-0.499191163539,0.504072219893,-0.363766734222,-0.6350153432,0.275938917305,-0.265363570123,0.303309397299,-0.640450047024,0.485976705529,-0.50802242113,-0.484129337631,-0.477547924566
r,-0.406464918913,-0.503777665501,-0.307660418846,0.520125900668,0.554198168224,-0.567552457404,0.552821853562,0.296268992764,-0.554561456891,-0.37900587438,0.0979405473786,-0.484432759679,-0.513776898439,-0.620131222772,0.0478587653211,0.458491295754,-0.0194660125291,0.58232575998,0.609964023394,-0.495211730058,0.518539096849,0.50833820578,0.45327394447,-0.482124372533,0.642190804667
th,0.356788001312,0.401949613538,-0.217440674642,-0.530293911057,0.335249767003,0.179725621977,0.529655289976,0.225666175999,0.414719540019,0.269617545309,-0.199750164645,0.525335011155,-0.465469976291,-0.341129737576,0.324707562436,-0.293757537112,0.28386292206,-0.0160289150157,-0.512543370352,0.461137431489,0.241805056856,0.456679584879,-0.156504792485,-0.441552817125,-0.395737009569
t,0.49350360462,0.0570898433379,-0.629289345887,-0.390376358447,-0.524091499136,-0.46075572675,0.730276792032,-0.684745270878,0.213778041567,-0.317755750623,0.422880189516,-0.454634605815,-0.661907431696,0.484695523472,0.529678267764,-0.114120319584,0.531817155924,-0.602237819904,0.232054053928,-0.363093880887,-0.733728503617,0.261521945062,0.510384643082,0.279614559527,-0.279190881128
<,-0.2747314889,-0.00599392039071,0.304518599137,-0.0486047571516,0.165868095863,0.127377718032,0.136132025663,-0.24656271548,0.060289080636,-0.133665893103,-0.312716486533,-0.198070384702,0.067162805525,-0.158513843544,-0.0120322943957,0.354998370123,0.0647887575835,0.230020748952,-0.148415381719,0.198439050458,-0.216272120394,0.248939249847,-0.129268961668,-0.0874659204186,-0.345151596554
>,-0.272867315648,0.106855247795,-0.0989013682531,-0.00134659396929,0.0138425622529,0.233447723384,0.0397351145054,-0.220778902323,0.307335470577,0.283451557035,-0.214885925639,-0.11821817136,0.0317850683249,-0.195173959124,-0.348221746527,0.17676094671,0.0731474803203,0.237868635663,-0.352670871022,0.0811188587561,0.0553082061391,0.248413472577,0.0249235368814,0.06568985264,0.0195376284311
w,0.420559082489,0.714408415184,-0.450658801742,-0.172093390113,-0.213093765604,0.563239255955,0.195739353313,0.189152238035,0.319535342108,0.459422814,-0.633674092957,0.460758620381,0.294132377493,-0.284999442429,0.461417233592,0.50453505272,0.500713712306,0.651897560677,0.514223428968,0.478834078221,0.464327882505,0.56935065597,0.656274694952,0.651174751647,0.56376371683
dh,0.526308550234,0.707143079181,-0.592126831644,0.6266582929,0.635509906761,-0.523480734048,-0.728200812518,0.201523858912,-0.632515075384,0.711346947765,0.403768756992,-0.503692388138,0.560936954111,0.157784525499,0.258308155671,-0.439781973111,0.63581463946,0.638898741712,0.514291021335,0.502650891307,0.442731822768,0.648042192915,0.44403325661,0.651432610586,-0.344800652664
y,-0.563365977453,0.728855086683,0.171614830257,-0.526911169402,0.370734573575,-0.191399257833,-0.569006446126,-0.608446298602,-0.626066804556,0.584580747142,-0.225307446746,-0.376903420481,-0.514519648939,-0.105833924879,-0.485478702583,0.384447139529,0.691823213967,0.565917927383,-0.535172192239,-0.24199133241,-0.452537384026,0.625351534377,0.675807222864,0.578521420622,0.511423466886
hh,0.372568116985,0.663736286536,-0.528455773596,-0.32547435394,0.223036064087,0.245661476774,-0.0779232034891,-0.704734759869,-0.614434721592,0.459956768975,-0.602373411251,-0.586213636403,-0.394940210411,-0.422382134593,-0.724429055512,0.150324264202,0.627117051339,0.341888021306,-0.172561822887,0.661077304153,0.62732516521,0.217154590403,-0.464729584543,0.579927783744,-0.187391216505
jh,-0.25370681358,0.339093967845,-0.462409062039,-0.340690293957,0.0877767540114,0.36903148314,0.183432949478,-0.177009666148,0.109268455337,0.0981446050075,-0.198557181246,0.485350297086,-0.349573536784,0.0413308170997,0.130461500404,0.00261233567114,-0.295811907133,0.432417121589,0.538967697877,-0.0130667964904,-0.546865342839,0.344214646145,0.371906654221,0.391565150339,0.272870351581
em,-0.0119759763013,-0.372851810472,0.611646206091,-0.0367050929571,-0.167008873089,0.56619410278,-0.212887702221,-0.481847562318,-0.0151280835274,-0.479746642274,-0.640532999049,-0.255754732129,-0.275993373258,0.35787109617,-0.449437289085,0.315918291119,0.339133411573,0.3428148752,-0.337628602003,0.240293255853,0.324602839259,0.297671320272,0.218035744519,-0.319921584358,-0.387454035748
