label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
iy,0.327625539157,0.762067835105,0.557852884014,0.780765944952,0.797057887871,-0.749235438683,0.867445890946,0.538323921049,0.17939103296,0.48373248374,-0.583753898891,-0.740378141773,-0.751814371103,0.590294360859,-0.0587470523062,0.48044482579,0.343429567189,-0.319238366398,0.503286404842,-0.199464496495
el,0.349137503297,-0.744372001564,0.159864857523,0.341856927863,-0.444610343487,-0.49039068301,0.42290072735,-0.490018622043,-0.0175276560865,0.264939283595,-0.592681785881,0.355714138734,-0.872971340538,0.181458739122,0.336924979665,-0.391179583764,-0.0778865027332,-0.0243949742208,0.219326004379,-0.891687182001
aa,0.233337242939,0.757265505649,-0.625431296379,-0.151476167553,0.0327686747491,0.0271420045357,-0.949852446109,0.332105662622,-0.296379120074,0.527214042463,0.666675613835,0.348746389483,-0.86445967398,-0.498343385758,0.304597007931,0.355449974115,-0.154290118676,-0.652523174599,0.0713432669836,0.190684593956
ch,0.264624743012,-0.776314958814,0.732587688803,-0.370762815338,0.524695854037,0.75677589909,-0.324715753999,0.379822972254,-0.608698217285,0.203531088388,-0.578213660811,0.15350306465,-0.350482760047,0.240944600769,0.240942445408,-0.346349445578,-0.61442696038,-0.478897642537,-0.235978179625,-0.372085971206
ae,-0.019298456077,0.468499362486,-0.139922718697,0.0334837221369,-0.696841266663,-0.805440878348,0.435014811039,-0.403025167317,0.607828380835,-0.447743100036,0.853712004331,0.092560359843,-0.25600293476,-0.438873099004,-0.731870479892,-0.41345347764,0.663720568112,0.540107514563,0.812398478257,0.338978137667
eh,-0.395459827891,0.825444086897,0.0895742792188,-0.218877011355,-0.480695750952,-0.182367372304,-0.0252357462019,0.437056987871,-0.581884348786,-0.97751084871,-0.165165087434,-0.575327027463,-0.330119866514,-0.343851559784,0.567245307076,-0.597469373995,0.935392713624,-0.165473849879,-0.851035194684,0.548968010411
ah,-0.602699068013,0.588250030352,0.105574666908,-0.742073685254,0.644344683467,0.864351194297,0.875172246414,0.898281845574,-0.654512799656,-0.431835637152,0.561854403394,-0.470249055736,-0.653340239529,-0.16233555154,0.854475430303,0.487569031934,-0.594905396759,0.403800181542,-0.0655483474671,-0.686375393262
ao,0.0172793152485,-0.0316715979782,0.058487398368,-0.0871591948926,0.018110231607,0.122503070182,-0.0632663406696,-0.0833298627306,0.137621188926,-0.174496515276,0.0617857757749,-0.0311150700362,-0.215199883649,0.0551475205471,0.0418981526433,0.0155769599595,0.0399461290663,0.0255225967199,-6.12295044977e-05,-0.182511227799
ih,0.293016158425,-0.455293254197,0.172911534023,-0.438171410045,-0.0761210514261,-0.730206271683,0.903108507167,-0.275907805297,-0.677321355415,0.0280876133929,0.731075887653,0.453113084273,-0.784240457076,-0.736310780179,0.127394112162,-0.240278996215,-0.444994405918,-0.804557644843,-0.247436804483,0.874575963549
en,-0.563779169247,-0.203975457524,-0.463377379964,-0.712335418616,0.0634752511015,-0.353200037369,-0.347770586595,-0.0466099056622,0.557633059853,-0.356898114296,0.194111004164,0.49860631519,-0.705642280976,-0.475772685144,-0.157680037736,-0.226062616751,-0.40770568764,-0.0104515911465,-0.225954861826,-0.716950583413
