label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
iy,-0.404194864526,0.167013883569,-0.35572848422,0.456457863104,-0.463896774578,0.409171566493,0.268642006531,0.0694336825246,0.621487888758,-0.496471290559,0.00212536510828,-0.584105192856,-0.0993701385951,-0.48862412372,0.757321727662,0.421994561533,-0.709313458399,0.00290281302802,-0.500149669681,-0.71335910425,0.617574221969,0.7288530271,-0.253083352346,-0.226412143976,0.126613183113,0.0166384110323,-0.563143533139,0.55649923352,0.438643130774,-0.353385237295
aa,-0.187073623055,-0.55168987261,0.491644417486,-0.67297838675,0.681916161795,0.390900321968,-0.666781063026,-0.403718361314,0.174616531845,0.667720997446,-0.720411425127,0.0299330650212,-0.206381027098,-0.174799472755,0.396855254064,-0.318453206882,-0.577858642543,-0.503610391808,0.0721462943736,-0.568948632784,0.225542277158,-0.0138164894763,0.621105942774,-0.456638804089,-0.0505557832481,-0.455911553161,0.482714671344,0.386412106272,-0.634775986036,0.311094862762
en,0.0301307028506,-0.516773888528,0.474673288054,-0.125860611863,-0.247644975339,0.224232405981,-0.144249493654,0.450375598929,0.621450304849,0.470223338588,-0.332778707548,-0.360775912292,-0.282039486214,-0.543907558098,-0.395607364346,0.369348346798,0.615833294736,0.120208466675,-0.464329923862,0.469531426205,0.671365828074,-0.286849773961,-0.144310013798,-0.493239148498,0.815775139049,-0.358593259426,-0.624482398519,-0.48473764667,0.475714583408,-0.0263431113828
ae,0.136371385091,-0.29511266643,-0.396151025244,-0.0328555232176,-0.0341025407401,0.533128426634,0.652898871793,-0.430284452555,-0.58708892566,0.289471151651,-0.465117886475,0.632753257504,0.396126147038,0.719990882738,0.636462461852,-0.21741020519,-0.311761467147,-0.723303301065,-0.294071409837,-0.68456728534,0.078778735433,-0.201616409426,-0.302145086365,0.399921722302,0.592694924023,-0.229239170206,0.199348726551,-0.450267391523,-0.573698184461,-0.640428453992
eh,0.168364757653,0.592954299581,0.475074534738,-0.496874692987,0.562306908149,0.633422420238,-0.199438146126,0.662866009279,-0.524685189974,0.70905462942,-0.0930903645992,-0.468405043848,-0.419909878194,0.490476167123,0.549248788326,0.474270495119,0.545466182098,0.294459209098,-0.530326176156,-0.821836079572,-0.532020755211,0.591189907111,-0.444918570317,0.177458635204,-0.283712448857,-0.385730836007,0.519222951405,-0.709844776555,-0.309223918031,-0.461805837725
el,-0.196274244583,-0.199963923372,-0.0575162675547,0.463796943765,0.0536050029569,-0.453383053337,-0.444737702242,-0.600067572285,0.661716766512,-0.386414603438,0.583842010112,0.482326906959,-0.525766104507,0.571811922348,0.546965437097,0.589340789298,0.649668463526,-0.416746378505,-0.503200558801,0.331911825552,0.503977236111,0.115221422148,0.551063388524,-0.194326188138,0.319341917085,0.0641421375736,0.0458299049354,0.399561497191,0.232188234524,0.320630680008
ah,0.421724676939,-0.497916819889,0.432849923585,-0.531491199315,-0.397247420818,-0.135284337645,0.589795511437,0.852888212812,0.404944728868,0.601410031713,-0.350080996095,0.392586038909,-0.698570026196,0.239073971335,0.702865247332,-0.469651585503,-0.483215237654,0.764721471965,-0.333711112615,0.293196746439,-0.581036185004,-0.216653814722,0.599763612858,-0.429302814994,-0.432448111151,0.617122647366,-0.558057852867,-0.0821457253541,-0.386546415899,0.639496640245
ahn,-0.157682487754,-0.306314617214,-0.0910740295601,0.172292086098,-0.0381853258673,0.195574208567,0.183724001812,-0.197854063711,0.301388789625,0.161211815003,-0.0691847249534,0.0945885620668,0.301221383762,-0.0689334288027,0.417987426393,0.0924402950325,0.507618075863,-0.234414131952,0.26653716568,-0.174906314063,-0.233141293698,-0.0928464451172,0.309375440913,-0.308419366506,-0.193037725047,-0.19849330248,-0.285669991729,0.109206344307,-0.0474111691952,0.16773078629
ow,-0.329732566059,0.145298969834,0.51342829966,0.147631106178,0.384141085572,-0.599388650152,-0.417041951763,0.535695484698,-0.608765495502,0.43138669424,0.669941917623,0.190100483161,-0.67021624874,-0.277048446276,0.668088999744,0.546240969329,-0.52268719386,-0.549859975463,0.0166194725055,-0.0761833463517,-0.453365466303,-0.645182550239,-0.0170705403555,0.38517273349,0.782410020524,0.453270714112,0.309393505054,0.415879999125,0.173937877503,-0.323899083977
ao,0.8832910981,0.3740012388,-0.429726407761,0.323055288142,0.51832209813,0.650912448644,-0.510420182659,0.267015999687,0.106842131564,0.570627943026,-0.172720203273,0.392659242276,-0.321340400168,0.151452995621,0.42212695675,0.585097881092,-0.114856992923,-0.266596126783,0.756050074629,-0.780543913551,0.468822905512,-0.663770147971,0.314778862209,0.286537769702,-0.477691349779,0.53954899195,0.172724326759,0.0892767196899,0.553425631264,-0.00979390545451
