label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
iy,0.0465194427165,0.582445847279,-0.717415850378,0.306251595078,-0.655413092524,-0.697131085119,-0.176095316154,-0.325796742243,-0.270877579035,-0.0159826482652,0.25164450557,-0.751817475998,0.493281491955,0.433508058496,-0.413850242947,-0.287538823222,0.273454798208,0.713486347281,0.25867662195,0.584300423783,-0.587043609628,-0.645027654373,-0.227604862253,0.494339997961,-0.693044480191
aa,0.455375425315,-0.636949619889,-0.663812495946,-0.659376818782,0.28607418353,0.00310629358289,0.34468699775,-0.0700837780424,-0.581394006722,0.188394578104,-0.405153386149,0.123290358065,-0.511388824853,0.552931009725,0.623453518839,0.421978416526,0.427310488151,0.45313960065,-0.0901272804881,-0.000537578195192,-0.642046739697,-0.83929027484,0.0657963414219,0.732564310875,-0.00213683314518
en,-0.321771888798,-0.431062604603,0.578017144787,-0.371490022365,0.121321493377,-0.652894344463,0.704021519757,-0.523587619134,0.484562778371,-0.216662063386,0.164533895168,0.00399702937699,0.353406924649,0.589633930404,-0.317484870962,-0.337181081517,0.221046675166,-0.11950271321,0.0982091454413,0.514801612769,-0.62557237789,0.272290845621,0.363412688338,0.560991577743,-0.314332256103
ae,0.484566623749,-0.234357241381,0.229400417877,-0.492377565204,0.0106134508005,-0.45199918165,-0.685670403544,-0.564453933717,0.0924311488497,-0.0693433863474,-0.359908680144,-0.032200875214,0.284158226967,-0.497372466867,0.553942093788,-0.178206746005,0.750199642571,-0.6251099715,-0.561675030434,0.464809734268,-0.49871582387,-0.560117257617,-0.389429056365,-0.477579581215,-0.663918596733
eh,-0.712755140857,-0.300606637711,-0.417243373181,0.113409283084,0.0315492879569,-0.199537142776,-0.791714316954,-0.633732269212,0.22644523751,-0.0125436740834,0.287915733845,-0.421469399023,0.614344931674,0.451209034371,0.76211881225,0.488729849646,-0.167645583535,-0.75206793166,-0.358687441334,0.287622622348,0.648522348339,-0.539944037581,0.798195839979,0.471652245082,-0.468117863997
el,0.332884076198,-0.32376262761,-0.286735698158,0.0296942972148,-0.556924497026,-0.508721480911,0.67909007858,0.133748898199,-0.143724280545,0.232285621367,0.466563534367,0.332156763766,-0.401097205094,0.4073143893,-0.46592733862,-0.211956456791,0.535935815124,-0.151137258515,0.454205471275,0.36737543382,-0.208689507163,-0.619086762322,0.380451040971,-0.584461171521,0.463519630882
ah,0.433614977827,-0.250327345558,0.837561987788,-0.38838297131,0.173783588112,-0.0262747106612,0.710213614517,0.404453347841,-0.621468887324,0.0712985767379,0.300130291964,-0.629708125722,0.456137354813,0.761740342044,0.0331217475115,0.396496690798,-0.67698544984,-0.303431181656,-0.813881065334,0.114845528122,0.535543983515,-0.660587236564,0.668220571034,0.555070128736,0.540015354173
ahn,0.105349060632,-0.107873613806,0.0692110244928,0.100447014758,-0.0204751106989,-0.117776168233,0.289060817508,-0.349947840822,0.28329820019,0.152847024026,0.212790269257,-0.404298158708,-0.0795555131527,0.0473884001085,0.0875288585564,0.105013128334,0.306462872239,0.248577633557,-0.243387444832,0.253399159131,0.0580747906947,-0.368626290562,0.0739898834408,-0.0259617737365,0.142121907359
ow,-0.0796543995792,0.651763192385,-0.696078344033,-0.424090481461,0.552809691217,-0.151207889295,0.365041856857,-0.522070319721,0.121125955221,0.175658596367,0.516624156686,-0.644622462746,-0.535773240493,0.242145179976,0.0337433891276,0.0382374806311,0.407436198617,-0.782369788273,-0.423091031473,-0.525826538288,-0.0988206566696,-0.50466289274,-0.318964965407,0.611531288813,-0.444573362907
ao,-0.430102832299,0.0154322583313,-0.474961140603,-0.63591613105,-0.358640891058,-0.61510420477,0.283091838952,0.026685114817,0.404358883698,-0.402282319143,-0.563609725964,-0.557274403845,-0.559712448308,-0.383140598343,0.350642733497,0.593026453945,0.0714194358951,-0.0729185655001,-0.702110574823,-0.258582789555,-0.293298435227,-0.696530083351,0.409922359382,-0.224294621077,0.539691970175
w,-0.0809963939915,-0.0623218196164,0.395555356929,-0.109252670147,0.0147123022287,0.365598165939,-0.0445094463918,0.541245103289,0.363343986102,-0.224187439134,-0.540547184727,-0.166681899377,-0.863814677343,-0.0388993505567,-0.763169663387,-0.763031135726,0.039017610094,0.659656463817,-0.604410616645,-0.561645075997,0.877890949222,0.0624529335326,-0.58703104984,-0.369979760861,0.275164445983
ih,0.605093362823,-0.561143209812,0.316369900336,0.695777519695,0.11300637355,0.145346665303,-0.737727081998,0.609726814979,0.399893926949,-0.180802816821,-0.638647926062,-0.429738368276,0.294347047573,0.685630611565,0.269017902101,-0.569825843079,0.172556873861,0.464022542253,-0.428114417773,0.418258487529,-0.560515608917,-0.447534584613,0.726484458076,0.266450843685,-0.365259475329
